Régions sociosanitaires;1 novembre;2 novembre;3 novembre;4 novembre;5 novembre;6 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;1;5;3;40;18;548
02 - Saguenay – Lac-Saint-Jean;105;48;86;109;101;118;1 875
03 - Capitale-Nationale;80;69;74;80;55;68;9 266
04 - Mauricie-et-Centre-du-Québec;87;59;97;107;116;139;5 120
05 - Estrie;42;32;31;65;50;45;2 998
06 - Montréal;224;209;205;261;287;286;44 123
07 - Outaouais;23;31;49;29;34;25;2 705
08 - Abitibi-Témiscamingue;0;0;0;1;1;1;251
09 - Côte-Nord;0;0;0;0;0;1;173
10 - Nord-du-Québec;0;0;2;3;6;2;22
11 - Gaspésie – Îles-de-la-Madeleine;17;25;24;14;24;13;1 051
12 - Chaudière-Appalaches;63;67;73;52;65;65;3 989
13 - Laval;34;37;56;75;50;62;9 656
14 - Lanaudière;140;99;120;162;104;158;8 255
15 - Laurentides;46;42;74;61;67;63;6 736
16 - Montérégie;173;151;134;116;132;170;16 538
17 - Nunavik;0;0;0;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;1;0;0;0;0;0;15
Hors Québec;1;1;-1;0;1;0;71
Région à déterminer;0;0;0;0;0;0;3
Total;1 037;871;1 029;1 138;1 133;1 234;113 423
