Régions sociosanitaires;11-oct;12-oct;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;2;404
02 - Saguenay – Lac-Saint-Jean;26;11;608
03 - Capitale-Nationale;95;125;6 292
04 - Mauricie-et-Centre-du-Québec;56;36;3 075
05 - Estrie;19;11;2 090
06 - Montréal;274;268;37 888
07 - Outaouais;23;31;1 830
08 - Abitibi-Témiscamingue;-1;1;234
09 - Côte-Nord;1;0;161
10 - Nord-du-Québec;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;26;7;615
12 - Chaudière-Appalaches;81;75;2 224
13 - Laval;53;51;8 286
14 - Lanaudière;32;43;5 841
15 - Laurentides;36;45;5 495
16 - Montérégie;119;106;12 648
17 - Nunavik;0;2;25
18 - Terres-Cries-de-la-Baie-James;0;0;14
Hors Québec;-1;1;50
Région à déterminer;0;0;2
Total;843;815;87 791
