Régions sociosanitaires;18 octobre;19 octobre;20 octobre;21 octobre;22 octobre;23 octobre;24 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;2;1;1;3;7;12;4;442
02 - Saguenay – Lac-Saint-Jean;47;31;19;19;24;32;22;944
03 - Capitale-Nationale;272;92;190;168;117;135;116;8 233
04 - Mauricie-et-Centre-du-Québec;57;43;68;51;77;79;68;3 980
05 - Estrie;47;22;30;33;9;26;38;2 511
06 - Montréal;192;273;223;298;237;253;146;40 869
07 - Outaouais;38;49;20;32;25;35;26;2 249
08 - Abitibi-Témiscamingue;0;2;2;1;0;1;1;248
09 - Côte-Nord;0;1;1;0;1;1;1;171
10 - Nord-du-Québec;0;0;0;0;0;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;8;6;26;24;13;20;18;810
12 - Chaudière-Appalaches;48;47;98;88;88;91;90;3 139
13 - Laval;62;41;48;65;51;60;55;8 985
14 - Lanaudière;59;60;82;79;87;87;89;6 705
15 - Laurentides;32;41;51;37;32;43;42;6 052
16 - Montérégie;172;167;212;138;137;134;162;14 657
17 - Nunavik;0;0;1;-1;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;14
Hors Québec;-2;0;0;-3;0;0;1;65
Région à déterminer;0;1;0;1;0;0;0;3
Total;1 034;877;1 072;1 033;905;1 009;879;100 114
