Régions sociosanitaires;25-oct;26-oct;27-oct;28-oct;29-oct;30-oct;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;7;6;12;4;1;4;477
02 - Saguenay – Lac-Saint-Jean;47;39;19;51;52;78;1 241
03 - Capitale-Nationale;91;129;59;119;76;49;8 760
04 - Mauricie-et-Centre-du-Québec;50;49;69;87;82;100;4 430
05 - Estrie;26;36;26;21;46;40;2 706
06 - Montréal;207;319;254;245;195;233;42 404
07 - Outaouais;15;24;43;40;32;58;2 479
08 - Abitibi-Témiscamingue;-1;0;0;1;0;1;249
09 - Côte-Nord;0;1;-1;1;-1;1;172
10 - Nord-du-Québec;0;1;1;-2;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;20;14;17;15;16;27;923
12 - Chaudière-Appalaches;61;66;85;66;65;71;3 554
13 - Laval;32;31;56;67;61;57;9 290
14 - Lanaudière;80;80;101;130;109;137;7 354
15 - Laurentides;47;44;42;33;65;44;6 332
16 - Montérégie;127;122;146;151;151;165;15 524
17 - Nunavik;0;0;0;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;14
Hors Québec;-1;2;0;1;2;-1;67
Région à déterminer;0;0;0;0;0;0;3
Total;808;963;929;1 030;952;1 064;106 016
