Régions sociosanitaires;20 septembre;21 septembre;22 septembre;23 septembre;24 septembre;25 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;11;9;7;7;12;9;309
02 - Saguenay – Lac-Saint-Jean;4;6;0;2;2;3;406
03 - Capitale-Nationale;92;92;95;103;132;106;3 589 
04 - Mauricie-et-Centre-du-Québec;5;14;11;10;14;14;2 322
05 - Estrie;14;16;13;25;17;16;1 674
06 - Montréal;219;142;146;247;229;272;32 564
07 - Outaouais;31;11;17;36;20;21;1 251
08 - Abitibi-Témiscamingue;0;0;0;1;1;3;196
09 - Côte-Nord;1;0;1;0;2;1;151
10 - Nord-du-Québec;0;0;0;0;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;8;4;13;15;12;16;303
12 - Chaudière-Appalaches;50;46;33;24;38;45;1 143
13 - Laval;20;50;21;29;43;50;6 881
14 - Lanaudière;15;10;18;9;14;14;5 131
15 - Laurentides;39;25;26;20;16;31;4 624
16 - Montérégie;76;62;69;53;83;99;10 380
17 - Nunavik;0;0;1;0;0;0;19
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;2;-2;13
Hors Québec;1;2;0;1;0;0;39
Région à déterminer;0;0;0;0;0;0;2
Total;586;489;471;582;637;698;71 005
