Régions sociosanitaires;27 septembre;28 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;5;6;328
02 - Saguenay – Lac-Saint-Jean;7;10;427
03 - Capitale-Nationale;125;169;4 003
04 - Mauricie-et-Centre-du-Québec;23;40;2 420
05 - Estrie;28;23;1 762
06 - Montréal;245;234;33 418
07 - Outaouais;27;36;1 328
08 - Abitibi-Témiscamingue;2;1;198
09 - Côte-Nord;0;0;150
10 - Nord-du-Québec;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;15;21;357
12 - Chaudière-Appalaches;41;25;1 266
13 - Laval;73;64;7 082
14 - Lanaudière;40;24;5 235
15 - Laurentides;37;25;4 728
16 - Montérégie;81;121;10 665
17 - Nunavik;0;0;19
18 - Terres-Cries-de-la-Baie-James;0;0;13
Hors Québec;1;0;41
Région à déterminer;0;0;2
Total;750;799;73 450
