Régions sociosanitaires;29 novembre 2020;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;14;816
02 - Saguenay – Lac-Saint-Jean;116;5 208
03 - Capitale-Nationale;162;11 778
04 - Mauricie-et-Centre-du-Québec;84;6 967
05 - Estrie;96;4 684
06 - Montréal;400;51 156
07 - Outaouais;11;3 565
08 - Abitibi-Témiscamingue;0;268
09 - Côte-Nord;5;210
10 - Nord-du-Québec;0;54
11 - Gaspésie – Îles-de-la-Madeleine;6;1 372
12 - Chaudière-Appalaches;23;5 340
13 - Laval;96;11 464
14 - Lanaudière;106;11 278
15 - Laurentides;46;7 949
16 - Montérégie;165;20 102
17 - Nunavik;0;28
18 - Terres-Cries-de-la-Baie-James;0;16
Hors Québec;3;113
Région à déterminer;0;3
Total;1 333;142 371
