Régions sociosanitaires;11 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;402
02 - Saguenay – Lac-Saint-Jean;26;597
03 - Capitale-Nationale;95;6 167
04 - Mauricie-et-Centre-du-Québec;56;3 039
05 - Estrie;19;2 079
06 - Montréal;274;37 620
07 - Outaouais;23;1 799
08 - Abitibi-Témiscamingue;-1;233
09 - Côte-Nord;1;161
10 - Nord-du-Québec;0;9
11 - Gaspésie – Îles-de-la-Madeleine;26;608
12 - Chaudière-Appalaches;81;2 149
13 - Laval;53;8 235
14 - Lanaudière;32;5 798
15 - Laurentides;36;5 450
16 - Montérégie;119;12 542
17 - Nunavik;0;23
18 - Terres-Cries-de-la-Baie-James;0;14
Hors Québec;-1;49
Région à déterminer;0;2
Total;843;86 976
