Régions sociosanitaires;4 octobre;5 octobre;6 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;7;7;376
02 - Saguenay – Lac-Saint-Jean;20;9;17;504
03 - Capitale-Nationale;265;201;132;5 392
04 - Mauricie-et-Centre-du-Québec;57;27;39;2 729
05 - Estrie;25;6;23;1 925
06 - Montréal;329;442;269;36 207
07 - Outaouais;29;66;49;1 629
08 - Abitibi-Témiscamingue;-1;4;0;213
09 - Côte-Nord;2;0;1;158
10 - Nord-du-Québec;-1;0;1;9
11 - Gaspésie – Îles-de-la-Madeleine;9;27;21;498
12 - Chaudière-Appalaches;68;88;73;1 809
13 - Laval;173;98;64;7 843
14 - Lanaudière;36;88;43;5 611
15 - Laurentides;57;74;49;5 191
16 - Montérégie;119;223;111;11 735
17 - Nunavik;0;0;1;22
18 - Terres-Cries-de-la-Baie-James;1;0;0;14
Hors Québec;0;4;0;47
Région à déterminer;0;0;0;2
Total;1 191;1 364;900;81 914
