Régions sociosanitaires;8 novembre;9 novembre;10 novembre;11 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;5;9;13;585
02 - Saguenay – Lac-Saint-Jean;94;89;198;197;2 608
03 - Capitale-Nationale;82;76;98;90;9 686
04 - Mauricie-et-Centre-du-Québec;81;78;86;106;5 573
05 - Estrie;54;85;59;73;3 359
06 - Montréal;285;253;318;325;45 612
07 - Outaouais;32;18;11;31;2 862
08 - Abitibi-Témiscamingue;0;2;0;2;256
09 - Côte-Nord;0;1;0;1;175
10 - Nord-du-Québec;1;2;1;1;28
11 - Gaspésie – Îles-de-la-Madeleine;25;19;17;17;1 155
12 - Chaudière-Appalaches;69;34;94;57;4 312
13 - Laval;109;66;86;76;10 057
14 - Lanaudière;164;173;166;138;9 078
15 - Laurentides;46;66;92;66;7 090
16 - Montérégie;123;192;144;172;17 338
17 - Nunavik;0;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;15
Hors Québec;1;3;-1;0;74
Région à déterminer;0;0;0;0;3
Total;1169;1 162;1 378;1 365;119 894
