Régions sociosanitaires;8 novembre;9 novembre;10 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;5;9;572
02 - Saguenay – Lac-Saint-Jean;94;89;198;2 411
03 - Capitale-Nationale;82;76;98;9 596
04 - Mauricie-et-Centre-du-Québec;81;78;86;5 467
05 - Estrie;54;85;59;3 286
06 - Montréal;285;253;318;45 287
07 - Outaouais;32;18;11;2 831
08 - Abitibi-Témiscamingue;0;2;0;254
09 - Côte-Nord;0;1;0;174
10 - Nord-du-Québec;1;2;1;27
11 - Gaspésie – Îles-de-la-Madeleine;25;19;17;1 138
12 - Chaudière-Appalaches;69;34;94;4 255
13 - Laval;109;66;86;9 981
14 - Lanaudière;164;173;166;8 940
15 - Laurentides;46;66;92;7 024
16 - Montérégie;123;192;144;17 166
17 - Nunavik;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;15
Hors Québec;1;3;-1;74
Région à déterminer;0;0;0;3
Total;1169;1 162;1 378;118 529
