Régions sociosanitaires;22 novembre 2020;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;21;718
02 - Saguenay – Lac-Saint-Jean;161;4 262
03 - Capitale-Nationale;106;10 799
04 - Mauricie-et-Centre-du-Québec;53;6 378
05 - Estrie;62;4 153
06 - Montréal;294;48 745
07 - Outaouais;48;3 335
08 - Abitibi-Témiscamingue;0;258
09 - Côte-Nord;3;199
10 - Nord-du-Québec;0;52
11 - Gaspésie – Îles-de-la-Madeleine;3;1 316
12 - Chaudière-Appalaches;40;4 965
13 - Laval;63;10 837
14 - Lanaudière;142;10 493
15 - Laurentides;41;7 646
16 - Montérégie;125;18 922
17 - Nunavik;0;29
18 - Terres-Cries-de-la-Baie-James;0;16
Hors Québec;2;80
Région à déterminer;0;3
Total;1 164;133 206
