Régions sociosanitaires;13 septembre;14 septembre;15 septembre;16 septembre;17 septembre;18 septembre;19 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;23;17;13;10;12;15;5;254
02 - Saguenay – Lac-Saint-Jean;0;0;1;0;1;4;1;389
03 - Capitale-Nationale;60;62;53;52;86;60;92;2 969
04 - Mauricie-et-Centre-du-Québec;3;5;17;8;8;14;13;2 254
05 - Estrie;9;9;28;9;13;30;21;1 573
06 - Montréal;135;160;97;73;58;128;160;31 309
07 - Outaouais;20;16;25;18;9;27;22;1 115
08 - Abitibi-Témiscamingue;-1;0;0;0;1;-1;1;191
09 - Côte-Nord;3;0;0;0;4;0;2;146
10 - Nord-du-Québec;0;1;0;-1;0;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;0;1;1;1;4;1;7;235
12 - Chaudière-Appalaches;32;16;16;20;21;36;19;907
13 - Laval;18;24;18;18;18;34;31;6 668
14 - Lanaudière;27;17;6;6;6;23;12;5 051
15 - Laurentides;10;7;13;14;7;23;17;4 467
16 - Montérégie;31;46;15;23;49;32;58;9 938
17 - Nunavik;0;0;0;0;0;0;0;18
18 - Terres-Cries-de-la-Baie-James;0;1;0;0;0;1;0;13
Hors Québec;2;0;0;0;0;0;1;35
Région à déterminer;0;0;0;0;0;0;0;2
Total;376;382;303;251;297;427;462;67 542
