Régions sociosanitaires;22 novembre 2020;23 novembre 2020;24 novembre 2020;25 novembre 2020;26 novembre 2020;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;21;10;10;14;20;772
02 - Saguenay – Lac-Saint-Jean;161;104;148;211;146;4 871
03 - Capitale-Nationale;106;153;98;139;132;11 321
04 - Mauricie-et-Centre-du-Québec;53;78;66;117;79;6 718
05 - Estrie;62;40;40;116;56;4 405
06 - Montréal;294;284;219;336;306;49 890
07 - Outaouais;48;64;27;29;36;3 491
08 - Abitibi-Témiscamingue;0;0;2;5;3;268
09 - Côte-Nord;3;1;-1;2;1;202
10 - Nord-du-Québec;0;0;0;1;0;53
11 - Gaspésie – Îles-de-la-Madeleine;3;0;15;9;8;1 348
12 - Chaudière-Appalaches;40;34;64;50;56;5 169
13 - Laval;63;70;73;101;82;11 163
14 - Lanaudière;142;103;158;93;110;10 957
15 - Laurentides;41;37;27;54;35;7 799
16 - Montérégie;125;145;133;187;198;19 585
17 - Nunavik;0;0;-1;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;16
Hors Québec;2;1;22;1;2;104
Région à déterminer;0;0;0;-1;-1;3
Total;1 164;1 124;1 100;1 464;1 269;138 163
