Régions sociosanitaires;1 novembre;2 novembre;3 novembre;4 novembre;5 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;1;5;3;40;530
02 - Saguenay – Lac-Saint-Jean;105;48;86;109;101;1 757
03 - Capitale-Nationale;80;69;74;80;55;9 198
04 - Mauricie-et-Centre-du-Québec;87;59;97;107;116;4 981
05 - Estrie;42;32;31;65;50;2 953
06 - Montréal;224;209;205;261;287;43 837
07 - Outaouais;23;31;49;29;34;2 680
08 - Abitibi-Témiscamingue;0;0;0;1;1;250
09 - Côte-Nord;0;0;0;0;0;172
10 - Nord-du-Québec;0;0;2;3;6;20
11 - Gaspésie – Îles-de-la-Madeleine;17;25;24;14;24;1 038
12 - Chaudière-Appalaches;63;67;73;52;65;3 924
13 - Laval;34;37;56;75;50;9 594
14 - Lanaudière;140;99;120;162;104;8 097
15 - Laurentides;46;42;74;61;67;6 673
16 - Montérégie;173;151;134;116;132;16 368
17 - Nunavik;0;0;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;1;0;0;0;0;15
Hors Québec;1;1;-1;0;1;71
Région à déterminer;0;0;0;0;0;3
Total;1 037;871;1 029;1 138;1 133;112 189
