Régions sociosanitaires;25 octobre;26 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;7;6;455
02 - Saguenay – Lac-Saint-Jean;47;39;1 030
03 - Capitale-Nationale;91;129;8 453
04 - Mauricie-et-Centre-du-Québec;50;49;4 079
05 - Estrie;26;36;2 573
06 - Montréal;207;319;41 395
07 - Outaouais;15;24;2 288
08 - Abitibi-Témiscamingue;-1;0;247
09 - Côte-Nord;0;1;172
10 - Nord-du-Québec;0;1;10
11 - Gaspésie – Îles-de-la-Madeleine;20;14;844
12 - Chaudière-Appalaches;61;66;3 266
13 - Laval;32;31;9 048
14 - Lanaudière;80;80;6 865
15 - Laurentides;47;44;6 143
16 - Montérégie;127;122;14 906
17 - Nunavik;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;14
Hors Québec;-1;2;66
Région à déterminer;0;0;3
Total;808;963;101 885
