Régions sociosanitaires;29 novembre;30 novembre;1er décembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;14;27;37;880
02 - Saguenay – Lac-Saint-Jean;116;78;117;5 403
03 - Capitale-Nationale;162;119;186;12 083
04 - Mauricie-et-Centre-du-Québec;84;65;93;7 125
05 - Estrie;96;62;89;4 835
06 - Montréal;400;306;386;51 848
07 - Outaouais;11;15;14;3 594
08 - Abitibi-Témiscamingue;0;1;6;275
09 - Côte-Nord;5;-1;1;210
10 - Nord-du-Québec;0;0;1;55
11 - Gaspésie – Îles-de-la-Madeleine;6;3;9;1 384
12 - Chaudière-Appalaches;23;59;130;5 529
13 - Laval;96;120;104;11 688
14 - Lanaudière;106;89;103;11 470
15 - Laurentides;46;35;43;8 027
16 - Montérégie;165;196;191;20 489
17 - Nunavik;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;16
Hors Québec;3;3;4;120
Région à déterminer;0;0;0;3
Total;1 333;1 177;1 514;145 062
