Régions sociosanitaires;25 octobre;26 octobre;27 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;7;6;12;467
02 - Saguenay – Lac-Saint-Jean;47;39;19;1 049
03 - Capitale-Nationale;91;129;59;8 512
04 - Mauricie-et-Centre-du-Québec;50;49;69;4 148
05 - Estrie;26;36;26;2 599
06 - Montréal;207;319;254;41 649
07 - Outaouais;15;24;43;2 331
08 - Abitibi-Témiscamingue;-1;0;0;247
09 - Côte-Nord;0;1;-1;171
10 - Nord-du-Québec;0;1;1;11
11 - Gaspésie – Îles-de-la-Madeleine;20;14;17;861
12 - Chaudière-Appalaches;61;66;85;3 351
13 - Laval;32;31;56;9 104
14 - Lanaudière;80;80;101;6 966
15 - Laurentides;47;44;42;6 185
16 - Montérégie;127;122;146;15 052
17 - Nunavik;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;14
Hors Québec;-1;2;0;66
Région à déterminer;0;0;0;3
Total;808;963;929;102 814
