Régions sociosanitaires;15 novembre 2020;16 novembre 2020;17 novembre 2020;18 novembre 2020;19 novembre 2020;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;4;13;12;19;657
02 - Saguenay – Lac-Saint-Jean;187;101;167;241;213;3 820
03 - Capitale-Nationale;75;49;84;121;138;10 504
04 - Mauricie-et-Centre-du-Québec;37;37;85;87;59;6 164
05 - Estrie;53;84;43;66;69;3 910
06 - Montréal;285;267;280;200;294;47 909
07 - Outaouais;58;39;60;22;32;3 215
08 - Abitibi-Témiscamingue;1;0;1;0;0;258
09 - Côte-Nord;2;4;0;0;7;192
10 - Nord-du-Québec;2;6;2;4;5;52
11 - Gaspésie – Îles-de-la-Madeleine;14;14;13;11;12;1 285
12 - Chaudière-Appalaches;57;44;65;60;42;4 812
13 - Laval;87;46;62;90;68;10 648
14 - Lanaudière;140;132;117;118;105;10 127
15 - Laurentides;73;20;52;35;37;7 512
16 - Montérégie;140;136;133;141;159;18 509
17 - Nunavik;0;0;1;-1;0;29
18 - Terres-Cries-de-la-Baie-James;0;-1;0;0;0;16
Hors Québec;3;0;1;0;0;77
Région à déterminer;0;0;0;0;0;3
Total;1 218;982;1 179;1 207;1 259;129 699
