Régions sociosanitaires;25 octobre;26 octobre;27 octobre;28 octobre;29 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;7;6;12;4;1;473
02 - Saguenay – Lac-Saint-Jean;47;39;19;51;52;1 163
03 - Capitale-Nationale;91;129;59;119;76;8 711
04 - Mauricie-et-Centre-du-Québec;50;49;69;87;82;4 330
05 - Estrie;26;36;26;21;46;2 666
06 - Montréal;207;319;254;245;195;42 171
07 - Outaouais;15;24;43;40;32;2 421
08 - Abitibi-Témiscamingue;-1;0;0;1;0;248
09 - Côte-Nord;0;1;-1;1;-1;171
10 - Nord-du-Québec;0;1;1;-2;0;9
11 - Gaspésie – Îles-de-la-Madeleine;20;14;17;15;16;896
12 - Chaudière-Appalaches;61;66;85;66;65;3 483
13 - Laval;32;31;56;67;61;9 233
14 - Lanaudière;80;80;101;130;109;7 217
15 - Laurentides;47;44;42;33;65;6 288
16 - Montérégie;127;122;146;151;151;15 359
17 - Nunavik;0;0;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;14
Hors Québec;-1;2;0;1;2;68
Région à déterminer;0;0;0;0;0;3
Total;808;963;929;1 030;952;104 952
