Régions sociosanitaires;20 septembre;21 septembre;22 septembre;23 septembre;24 septembre;25 septembre;26 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;11;9;7;7;12;9;8;317
02 - Saguenay – Lac-Saint-Jean;4;6;0;2;2;3;4;410
03 - Capitale-Nationale;92;92;95;103;132;106;120;3 709
04 - Mauricie-et-Centre-du-Québec;5;14;11;10;14;14;35;2 357
05 - Estrie;14;16;13;25;17;16;37;1 711
06 - Montréal;219;142;146;247;229;272;375;32 939
07 - Outaouais;31;11;17;36;20;21;14;1 265
08 - Abitibi-Témiscamingue;0;0;0;1;1;3;-1;195
09 - Côte-Nord;1;0;1;0;2;1;-1;150
10 - Nord-du-Québec;0;0;0;0;0;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;8;4;13;15;12;16;18;321
12 - Chaudière-Appalaches;50;46;33;24;38;45;57;1 200
13 - Laval;20;50;21;29;43;50;64;6 945
14 - Lanaudière;15;10;18;9;14;14;40;5 171
15 - Laurentides;39;25;26;20;16;31;42;4 666
16 - Montérégie;76;62;69;53;83;99;83;10 463
17 - Nunavik;0;0;1;0;0;0;0;19
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;2;-2;0;13
Hors Québec;1;2;0;1;0;0;1;40
Région à déterminer;0;0;0;0;0;0;0;2
Total;586;489;471;582;637;698;896;71 901
