Régions sociosanitaires;25 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;7;449
02 - Saguenay – Lac-Saint-Jean;47;991
03 - Capitale-Nationale;91;8 324
04 - Mauricie-et-Centre-du-Québec;50;4 030
05 - Estrie;26;2 537
06 - Montréal;207;41 076
07 - Outaouais;15;2 264
08 - Abitibi-Témiscamingue;-1;247
09 - Côte-Nord;0;171
10 - Nord-du-Québec;0;9
11 - Gaspésie – Îles-de-la-Madeleine;20;830
12 - Chaudière-Appalaches;61;3 200
13 - Laval;32;9 017
14 - Lanaudière;80;6 785
15 - Laurentides;47;6 099
16 - Montérégie;127;14 784
17 - Nunavik;0;28
18 - Terres-Cries-de-la-Baie-James;0;14
Hors Québec;-1;64
Région à déterminer;0;3
Total;808;100 922
