Régions sociosanitaires;11 octobre;12 octobre;13 octobre;14 octobre;15 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;1;2;-3;3;405
02 - Saguenay – Lac-Saint-Jean;38;13;25;17;24;689
03 - Capitale-Nationale;109;125;159;93;174;6 732
04 - Mauricie-et-Centre-du-Québec;67;42;48;77;51;3 268
05 - Estrie;28;28;27;31;25;2 203
06 - Montréal;309;278;189;296;250;38 677
07 - Outaouais;45;40;11;41;38;1 963
08 - Abitibi-Témiscamingue;-1;1;2;5;-1;240
09 - Côte-Nord;1;0;2;0;3;165
10 - Nord-du-Québec;0;0;0;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;28;7;12;16;16;661
12 - Chaudière-Appalaches;91;76;58;79;64;2 434
13 - Laval;65;54;46;67;56;8 476
14 - Lanaudière;32;43;34;58;113;6 045
15 - Laurentides;55;50;46;49;48;5 668
16 - Montérégie;186;162;181;141;187;13 284
17 - Nunavik;0;2;2;2;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;14
Hors Québec;-1;1;0;0;4;55
Région à déterminer;0;0;0;0;0;2
Total;1056;923;844;969;1 055;91 018
