Régions sociosanitaires;13 septembre;14 septembre;15 septembre;16 septembre;17 septembre;18 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;23;17;13;10;12;15;249
02 - Saguenay – Lac-Saint-Jean;0;0;1;0;1;4;388
03 - Capitale-Nationale;60;62;53;52;86;60;2 877
04 - Mauricie-et-Centre-du-Québec;3;5;17;8;8;14;2 241
05 - Estrie;9;9;28;9;13;30;1 552
06 - Montréal;135;160;97;73;58;128;31 149
07 - Outaouais;20;16;25;18;9;27;1 093
08 - Abitibi-Témiscamingue;-1;0;0;0;1;-1;190
09 - Côte-Nord;3;0;0;0;4;0;144
10 - Nord-du-Québec;0;1;0;-1;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;0;1;1;1;4;1;228
12 - Chaudière-Appalaches;32;16;16;20;21;36;888
13 - Laval;18;24;18;18;18;34;6 637
14 - Lanaudière;27;17;6;6;6;23;5 039
15 - Laurentides;10;7;13;14;7;23;4 450
16 - Montérégie;31;46;15;23;49;32;9 880
17 - Nunavik;0;0;0;0;0;0;18
18 - Terres-Cries-de-la-Baie-James;0;1;0;0;0;1;13
Hors Québec;2;0;0;0;0;0;34
Région à déterminer;0;0;0;0;0;0;2
Total;376;382;303;251;297;427;67 080
