Régions sociosanitaires;29 novembre 2020;30 novembre 2020;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;14;27;843
02 - Saguenay – Lac-Saint-Jean;116;78;5 286
03 - Capitale-Nationale;162;119;11 897
04 - Mauricie-et-Centre-du-Québec;84;65;7 032
05 - Estrie;96;62;4 746
06 - Montréal;400;306;51 462
07 - Outaouais;11;15;3 580
08 - Abitibi-Témiscamingue;0;1;269
09 - Côte-Nord;5;-1;209
10 - Nord-du-Québec;0;0;54
11 - Gaspésie – Îles-de-la-Madeleine;6;3;1 375
12 - Chaudière-Appalaches;23;59;5 399
13 - Laval;96;120;11 584
14 - Lanaudière;106;89;11 367
15 - Laurentides;46;35;7 984
16 - Montérégie;165;196;20 298
17 - Nunavik;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;16
Hors Québec;3;3;116
Région à déterminer;0;0;3
Total;1 333;1 177;143 548
