Régions sociosanitaires;18 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;2;414
02 - Saguenay – Lac-Saint-Jean;47;797
03 - Capitale-Nationale;272;7 416
04 - Mauricie-et-Centre-du-Québec;57;3 592
05 - Estrie;47;2 354
06 - Montréal;193;39 396
07 - Outaouais;39;2 063
08 - Abitibi-Témiscamingue;0;243
09 - Côte-Nord;0;165
10 - Nord-du-Québec;0;9
11 - Gaspésie – Îles-de-la-Madeleine;8;703
12 - Chaudière-Appalaches;48;2 635
13 - Laval;62;8 673
14 - Lanaudière;59;6 225
15 - Laurentides;32;5 821
16 - Montérégie;174;13 813
17 - Nunavik;0;28
18 - Terres-Cries-de-la-Baie-James;0;14
Hors Québec;-2;66
Région à déterminer;0;2
Total;1 038;94 429
