Régions sociosanitaires;1 novembre;2 novembre;3 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;1;5;487
02 - Saguenay – Lac-Saint-Jean;105;48;86;1 547
03 - Capitale-Nationale;80;69;74;9 063
04 - Mauricie-et-Centre-du-Québec;87;59;97;4 758
05 - Estrie;42;32;31;2 838
06 - Montréal;224;209;205;43 289
07 - Outaouais;23;31;49;2 617
08 - Abitibi-Témiscamingue;0;0;0;248
09 - Côte-Nord;0;0;0;172
10 - Nord-du-Québec;0;0;2;11
11 - Gaspésie – Îles-de-la-Madeleine;17;25;24;1 000
12 - Chaudière-Appalaches;63;67;73;3 807
13 - Laval;34;37;56;9 469
14 - Lanaudière;140;99;120;7 831
15 - Laurentides;46;42;74;6 545
16 - Montérégie;173;151;134;16 120
17 - Nunavik;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;1;0;0;15
Hors Québec;1;1;-1;70
Région à déterminer;0;0;0;3
Total;1 037;871;1 029;109 918
