Régions sociosanitaires;1 novembre;2 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;1;482
02 - Saguenay – Lac-Saint-Jean;105;48;1 461
03 - Capitale-Nationale;80;69;8 989
04 - Mauricie-et-Centre-du-Québec;87;59;4 661
05 - Estrie;42;32;2 807
06 - Montréal;224;209;43 084
07 - Outaouais;23;31;2 568
08 - Abitibi-Témiscamingue;0;0;248
09 - Côte-Nord;0;0;172
10 - Nord-du-Québec;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;17;25;976
12 - Chaudière-Appalaches;63;67;3 734
13 - Laval;34;37;9 413
14 - Lanaudière;140;99;7 711
15 - Laurentides;46;42;6 471
16 - Montérégie;173;151;15 986
17 - Nunavik;0;0;28
18 - Terres-Cries-de-la-Baie-James;1;0;15
Hors Québec;1;1;71
Région à déterminer;0;0;3
Total;1 037;871;108 889
