Régions sociosanitaires;8 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;558
02 - Saguenay – Lac-Saint-Jean;94;2 124
03 - Capitale-Nationale;82;9 422
04 - Mauricie-et-Centre-du-Québec;81;5 303
05 - Estrie;54;3 142
06 - Montréal;285;44 716
07 - Outaouais;32;2 802
08 - Abitibi-Témiscamingue;0;252
09 - Côte-Nord;0;173
10 - Nord-du-Québec;1;24
11 - Gaspésie – Îles-de-la-Madeleine;25;1 102
12 - Chaudière-Appalaches;69;4 127
13 - Laval;109;9 829
14 - Lanaudière;164;8 601
15 - Laurentides;46;6 866
16 - Montérégie;123;16 830
17 - Nunavik;0;28
18 - Terres-Cries-de-la-Baie-James;0;15
Hors Québec;1;72
Région à déterminer;0;3
Total;1169;115 989
