Régions sociosanitaires;4 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;362
02 - Saguenay – Lac-Saint-Jean;20;478
03 - Capitale-Nationale;265;5 059
04 - Mauricie-et-Centre-du-Québec;57;2 663
05 - Estrie;25;1 896
06 - Montréal;329;35 496
07 - Outaouais;29;1 514
08 - Abitibi-Témiscamingue;-1;209
09 - Côte-Nord;2;157
10 - Nord-du-Québec;-1;8
11 - Gaspésie – Îles-de-la-Madeleine;9;450
12 - Chaudière-Appalaches;68;1 648
13 - Laval;173;7 681
14 - Lanaudière;36;5 480
15 - Laurentides;57;5 068
16 - Montérégie;119;11 401
17 - Nunavik;0;21
18 - Terres-Cries-de-la-Baie-James;1;14
Hors Québec;0;43
Région à déterminer;0;2
Total;1 191;79 650
