Régions sociosanitaires;20 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;11;265
02 - Saguenay – Lac-Saint-Jean;4;393
03 - Capitale-Nationale;92;3 061
04 - Mauricie-et-Centre-du-Québec;5;2 259
05 - Estrie;14;1 587
06 - Montréal;219;31 528
07 - Outaouais;31;1 146
08 - Abitibi-Témiscamingue;0;191
09 - Côte-Nord;1;147
10 - Nord-du-Québec;0;8
11 - Gaspésie – Îles-de-la-Madeleine;8;243
12 - Chaudière-Appalaches;50;957
13 - Laval;20;6 688
14 - Lanaudière;15;5 066
15 - Laurentides;39;4 506
16 - Montérégie;76;10 014
17 - Nunavik;0;18
18 - Terres-Cries-de-la-Baie-James;0;13
Hors Québec;1;36
Région à déterminer;0;2
Total;586;68 128
