Régions sociosanitaires;4 octobre;5 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;7;369
02 - Saguenay – Lac-Saint-Jean;20;9;487
03 - Capitale-Nationale;265;201;5 260
04 - Mauricie-et-Centre-du-Québec;57;27;2 690
05 - Estrie;25;6;1 902
06 - Montréal;329;442;35 938
07 - Outaouais;29;66;1 580
08 - Abitibi-Témiscamingue;-1;4;213
09 - Côte-Nord;2;0;157
10 - Nord-du-Québec;-1;0;8
11 - Gaspésie – Îles-de-la-Madeleine;9;27;477
12 - Chaudière-Appalaches;68;88;1 736
13 - Laval;173;98;7 779
14 - Lanaudière;36;88;5 568
15 - Laurentides;57;74;5 142
16 - Montérégie;119;223;11 624
17 - Nunavik;0;0;21
18 - Terres-Cries-de-la-Baie-James;1;0;14
Hors Québec;0;4;47
Région à déterminer;0;0;2
Total;1 191;1 364;81 014
