Régions sociosanitaires;20 septembre;21 septembre;22 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;11;9;7;281
02 - Saguenay – Lac-Saint-Jean;4;6;0;399
03 - Capitale-Nationale;92;92;95;3 248
04 - Mauricie-et-Centre-du-Québec;5;14;11;2 284
05 - Estrie;14;16;13;1 616
06 - Montréal;219;142;146;31 816
07 - Outaouais;31;11;17;1 174
08 - Abitibi-Témiscamingue;0;0;0;191
09 - Côte-Nord;1;0;1;148
10 - Nord-du-Québec;0;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;8;4;13;260
12 - Chaudière-Appalaches;50;46;33;1 036
13 - Laval;20;50;21;6 759
14 - Lanaudière;15;10;18;5 094
15 - Laurentides;39;25;26;4 557
16 - Montérégie;76;62;69;10 145
17 - Nunavik;0;0;1;19
18 - Terres-Cries-de-la-Baie-James;0;0;0;13
Hors Québec;1;2;0;38
Région à déterminer;0;0;0;2
Total;586;489;471;69 088
