Régions sociosanitaires;22 novembre 2020;23 novembre 2020;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;21;10;728
02 - Saguenay – Lac-Saint-Jean;161;104;4 366
03 - Capitale-Nationale;106;153;10 952
04 - Mauricie-et-Centre-du-Québec;53;78;6 456
05 - Estrie;62;40;4 193
06 - Montréal;294;284;49 029
07 - Outaouais;48;64;3 399
08 - Abitibi-Témiscamingue;0;0;258
09 - Côte-Nord;3;1;200
10 - Nord-du-Québec;0;0;52
11 - Gaspésie – Îles-de-la-Madeleine;3;0;1 316
12 - Chaudière-Appalaches;40;34;4 999
13 - Laval;63;70;10 907
14 - Lanaudière;142;103;10 596
15 - Laurentides;41;37;7 683
16 - Montérégie;125;145;19 067
17 - Nunavik;0;0;29
18 - Terres-Cries-de-la-Baie-James;0;0;16
Hors Québec;2;1;81
Région à déterminer;0;0;3
Total;1 164;1 124;134 330
