Régions sociosanitaires;11 octobre;12 octobre;13 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;2;2;405
02 - Saguenay – Lac-Saint-Jean;26;11;25;648
03 - Capitale-Nationale;95;125;159;6 465
04 - Mauricie-et-Centre-du-Québec;56;36;48;3 140
05 - Estrie;19;11;27;2 147
06 - Montréal;274;268;189;38 131
07 - Outaouais;23;31;11;1 884
08 - Abitibi-Témiscamingue;-1;1;2;236
09 - Côte-Nord;1;0;2;162
10 - Nord-du-Québec;0;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;26;7;12;629
12 - Chaudière-Appalaches;81;75;58;2 291
13 - Laval;53;51;46;8 353
14 - Lanaudière;32;43;34;5 874
15 - Laurentides;36;45;46;5 571
16 - Montérégie;119;106;181;12 956
17 - Nunavik;0;2;2;26
18 - Terres-Cries-de-la-Baie-James;0;0;0;14
Hors Québec;-1;1;0;51
Région à déterminer;0;0;0;2
Total;843;815;844;88 994
