Régions sociosanitaires;20 septembre;21 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;11;9;274
02 - Saguenay – Lac-Saint-Jean;4;6;399
03 - Capitale-Nationale;92;92;3 153
04 - Mauricie-et-Centre-du-Québec;5;14;2 273
05 - Estrie;14;16;1 603
06 - Montréal;219;142;31 670
07 - Outaouais;31;11;1 157
08 - Abitibi-Témiscamingue;0;0;191
09 - Côte-Nord;1;0;147
10 - Nord-du-Québec;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;8;4;247
12 - Chaudière-Appalaches;50;46;1 003
13 - Laval;20;50;6 738
14 - Lanaudière;15;10;5 076
15 - Laurentides;39;25;4 531
16 - Montérégie;76;62;10 076
17 - Nunavik;0;0;18
18 - Terres-Cries-de-la-Baie-James;0;0;13
Hors Québec;1;2;38
Région à déterminer;0;0;2
Total;586;489;68 617
