Régions sociosanitaires;4 octobre;5 octobre;6 octobre;7 octobre;8 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;7;7;4;6;386
02 - Saguenay – Lac-Saint-Jean;20;9;17;23;11;538
03 - Capitale-Nationale;265;201;132;199;144;5 735
04 - Mauricie-et-Centre-du-Québec;57;27;39;60;74;2 863
05 - Estrie;25;6;23;25;38;1 988
06 - Montréal;329;442;269;290;345;36 842
07 - Outaouais;29;66;49;32;31;1 692
08 - Abitibi-Témiscamingue;-1;4;0;4;6;223
09 - Côte-Nord;2;0;1;1;0;159
10 - Nord-du-Québec;-1;0;1;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;9;27;21;20;20;538
12 - Chaudière-Appalaches;68;88;73;64;67;1 940
13 - Laval;173;98;64;87;87;8 017
14 - Lanaudière;36;88;43;30;35;5 676
15 - Laurentides;57;74;49;70;54;5 315
16 - Montérégie;119;223;111;169;182;12 086
17 - Nunavik;0;0;1;0;0;22
18 - Terres-Cries-de-la-Baie-James;1;0;0;0;0;14
Hors Québec;0;4;0;0;2;49
Région à déterminer;0;0;0;0;0;2
Total;1 191;1 364;900;1 078;1 102;84 094
