Régions sociosanitaires;22 novembre 2020;23 novembre 2020;24 novembre 2020;25 novembre 2020;26 novembre 2020;27 novembre 2020;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;21;10;10;14;20;20;792
02 - Saguenay – Lac-Saint-Jean;161;104;148;211;146;117;4 988
03 - Capitale-Nationale;106;153;98;139;132;128;11 449
04 - Mauricie-et-Centre-du-Québec;53;78;66;117;79;107;6 825
05 - Estrie;62;40;40;116;56;96;4 501
06 - Montréal;294;284;219;336;306;429;50 319
07 - Outaouais;48;64;27;29;36;33;3 524
08 - Abitibi-Témiscamingue;0;0;2;5;3;0;268
09 - Côte-Nord;3;1;-1;2;1;3;205
10 - Nord-du-Québec;0;0;0;1;0;1;54
11 - Gaspésie – Îles-de-la-Madeleine;3;0;15;9;8;12;1 360
12 - Chaudière-Appalaches;40;34;64;50;56;68;5 237
13 - Laval;63;70;73;101;82;85;11 248
14 - Lanaudière;142;103;158;93;110;120;11 077
15 - Laurentides;41;37;27;54;35;45;7 844
16 - Montérégie;125;145;133;187;198;215;19 800
17 - Nunavik;0;0;-1;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;16
Hors Québec;2;1;22;1;2;1;105
Région à déterminer;0;0;0;-1;-1;0;3
Total;1 164;1 124;1 100;1 464;1 269;1 480;139 643
