Régions sociosanitaires;1 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;481
02 - Saguenay – Lac-Saint-Jean;105;1 413
03 - Capitale-Nationale;80;8 920
04 - Mauricie-et-Centre-du-Québec;87;4 602
05 - Estrie;42;2 775
06 - Montréal;224;42 875
07 - Outaouais;23;2 537
08 - Abitibi-Témiscamingue;0;248
09 - Côte-Nord;0;172
10 - Nord-du-Québec;0;9
11 - Gaspésie – Îles-de-la-Madeleine;17;951
12 - Chaudière-Appalaches;63;3 667
13 - Laval;34;9 376
14 - Lanaudière;140;7 612
15 - Laurentides;46;6 429
16 - Montérégie;173;15 835
17 - Nunavik;0;28
18 - Terres-Cries-de-la-Baie-James;1;15
Hors Québec;1;70
Région à déterminer;0;3
Total;1 037;108 018
