Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
62 124,5 750, 117, 17,55 106,16 116,27 août 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,74,197074,37.54934695,,
2,Saguenay Lac St-Jean,376,277632,135.4310742,,
3,Capitale-Nationale,2031,755459,268.8431801,,
4,Mauricie et Centre-du-Québec,2138,522341,409.3111588,,
5,Estrie,1207,493163,244.7466659,,
6,Montréal,29744,2065657,1439.929282,,
7,Outaouais,805,401032,200.7321112,,
8,Abitibi-Témiscamingue,180,147616,121.9380013,,
9,Côte-Nord,127,90033,141.0593893,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,211,89998,234.4496544,,
12,Chaudière-Appalaches,601,430309,139.6670764,,
13,Laval,6274,442745,1417.068516,,
14,Lanaudière,4817,520092,926.1822908,,
15,Laurentides,4200,626968,669.8906483,,
16,Montérégie,9271,1432751,647.0768473,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,2078,,,,,
10-19 ans,3371,,,,,
20-29 ans,8994,,,,,
30-39 ans,8127,,,,,
40-49 ans,9253,,,,,
50-59 ans,8797,,,,,
60-69 ans,5336,,,,,
70-79 ans,4572,,,,,
80-89 ans,6798,,,,,
90 ans et plus,4727,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,42.3,"rgb(155,207, 229)",,,,
Femmes,57.7,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,1,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,107,,,,,
60-69 ans,348,,,,,
70-79 ans,1031,,,,,
80-89 ans,2303,,,,,
90 ans et plus,1931,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.1,"rgb(155,207, 229)",,,,
Femmes,54.9,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,105.1083397,"rgb(28,129,154)",5372,,,
Alberta,301.7801813,"rgb(28,129,154)",13318,,,
Saskatchewan,136.1636875,"rgb(28,129,154)",1609,,,
Manitoba,77.24042607,"rgb(28,129,154)",1064,,,
Ontario,284.2135107,"rgb(28,129,154)",41813,,,
Québec,727.5262783,"rgb(239,117,22)",62124,,,
Terre-Neuve et Labrador,51.40352728,"rgb(28,129,154)",268,,,
Nouveau-Brunswick,24.35919297,"rgb(28,129,154)",190,,,
Nouvelle-Écosse,110.5931003,"rgb(28,129,154)",1081,,,
Île-du-Prince-Édouard,27.82028098,"rgb(28,129,154)",44,,,
Canada,334.9166729,"rgb(179,30,58)",126916,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,5728.756699,"rgb(28,129,154)",292792,,,
Alberta,16686.6222,"rgb(28,129,154)",736405,,,
Saskatchewan,9703.672611,"rgb(28,129,154)",114665,,,
Manitoba,9294.622135,"rgb(28,129,154)",128035,,,
Ontario,18754.19008,"rgb(28,129,154)",2759084,,,
Québec,12698.61494,"rgb(239,117,22)",1084344,,,
Terre-Neuve et Labrador,5973.933808,"rgb(28,129,154)",31146,,,
Nouveau-Brunswick,6754.034972,"rgb(28,129,154)",52681,,,
Nouvelle-Écosse,7600.436643,"rgb(28,129,154)",74291,,,
Île-du-Prince-Édouard,16848.97381,"rgb(28,129,154)",26648,,,
Canada,14006.70314,"rgb(179,30,58)",5307812,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,727.5262783,"rgb(239,117,22)",62124,,,
Canada,334.9166729,"rgb(179,30,58)",126916,,,
États-Unis,1828.305901,"rgb(28,129,154)",6051741,,,
Italie,436.5547941,"rgb(28,129,154)",263949,,,
France,397.8612396,"rgb(28,129,154)",259698,,,
Espagne,918.6376631,"rgb(28,129,154)",429507,,,
Allemagne,287.9513595,"rgb(28,129,154)",241257,,,
Chine,5.906454226,"rgb(28,129,154)",85013,,,
Royaume-Uni,486.6510716,"rgb(28,129,154)",330368,,,
Suisse,477.7331696,"rgb(28,129,154)",41346,,,
Portugal,559.7296147,"rgb(28,129,154)",57074,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,673.3752013,"rgb(239,117,22)",5750,,,
Canada,240.1912727,"rgb(179,30,58)",9102,,,
États-Unis,558.8082133,"rgb(28,129,154)",184967,,,
Italie,586.5353785,"rgb(28,129,154)",35463,,,
France,468.428916,"rgb(28,129,154)",30576,,,
Espagne,620.1719106,"rgb(28,129,154)",28996,,,
Allemagne,111.7159181,"rgb(28,129,154)",9360,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,610.9800736,"rgb(28,129,154)",41477,,,
Suisse,231.5525739,"rgb(28,129,154)",2004,,,
Portugal,177.9986072,"rgb(28,129,154)",1815,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,0,0,,,,
10-19 ans,0,0,,,,
20-29 ans,4,1,,,,
30-39 ans,3,1, ,,,
40-49 ans,4,1,,,,
50-59 ans,8,5,,,,
60-69 ans,15,2,,,,
70-79 ans,37,2,,,,
80-89 ans,34,3,,,,
90 ans et plus,12,2,,,,
