Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
62 614,5 762, 110, 20,55 438,10 261,31 août 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,74,197074,37.54934695,,
2,Saguenay Lac St-Jean,377,277632,135.7912633,,
3,Capitale-Nationale,2093,755459,277.0501113,,
4,Mauricie et Centre-du-Québec,2149,522341,411.4170628,,
5,Estrie,1267,493163,256.9130288,,
6,Montréal,29862,2065657,1445.64175,,
7,Outaouais,844,401032,210.4570209,,
8,Abitibi-Témiscamingue,183,147616,123.9703013,,
9,Côte-Nord,127,90033,141.0593893,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,213,89998,236.671926,,
12,Chaudière-Appalaches,614,430309,142.6881613,,
13,Laval,6306,442745,1424.296152,,
14,Lanaudière,4858,520092,934.0655115,,
15,Laurentides,4241,626968,676.430057,,
16,Montérégie,9338,1432751,651.7531658,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,2116,,,,,
10-19 ans,3421,,,,,
20-29 ans,9112,,,,,
30-39 ans,8207,,,,,
40-49 ans,9311,,,,,
50-59 ans,8859,,,,,
60-69 ans,5369,,,,,
70-79 ans,4596,,,,,
80-89 ans,6816,,,,,
90 ans et plus,4735,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,42.4,"rgb(155,207, 229)",,,,
Femmes,57.6,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,1,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,109,,,,,
60-69 ans,350,,,,,
70-79 ans,1033,,,,,
80-89 ans,2305,,,,,
90 ans et plus,1935,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.1,"rgb(155,207, 229)",,,,
Femmes,54.9,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,113.2869111,"rgb(28,129,154)",5790,,,
Alberta,315.0133714,"rgb(28,129,154)",13902,,,
Saskatchewan,137.0099504,"rgb(28,129,154)",1619,,,
Manitoba,88.12958388,"rgb(28,129,154)",1214,,,
Ontario,287.5849478,"rgb(28,129,154)",42309,,,
Québec,733.2646061,"rgb(239,117,22)",62614,,,
Terre-Neuve et Labrador,51.59533149,"rgb(28,129,154)",269,,,
Nouveau-Brunswick,24.48739925,"rgb(28,129,154)",191,,,
Nouvelle-Écosse,111.0023254,"rgb(28,129,154)",1085,,,
Île-du-Prince-Édouard,27.82028098,"rgb(28,129,154)",44,,,
Canada,340.6008302,"rgb(179,30,58)",129070,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,6037.155368,"rgb(28,129,154)",308554,,,
Alberta,17386.59904,"rgb(28,129,154)",767296,,,
Saskatchewan,10075.94363,"rgb(28,129,154)",119064,,,
Manitoba,9720.533395,"rgb(28,129,154)",133902,,,
Ontario,19503.7163,"rgb(28,129,154)",2869353,,,
Québec,13050.05824,"rgb(239,117,22)",1114354,,,
Terre-Neuve et Labrador,6126.418152,"rgb(28,129,154)",31941,,,
Nouveau-Brunswick,6897.369592,"rgb(28,129,154)",53799,,,
Nouvelle-Écosse,7863.261504,"rgb(28,129,154)",76860,,,
Île-du-Prince-Édouard,17435.72883,"rgb(28,129,154)",27576,,,
Canada,14541.72906,"rgb(179,30,58)",5510559,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,733.2646061,"rgb(239,117,22)",62614,,,
Canada,340.6008302,"rgb(179,30,58)",129070,,,
États-Unis,1877.534812,"rgb(28,129,154)",6214690,,,
Italie,445.2627679,"rgb(28,129,154)",269214,,,
France,430.5345242,"rgb(28,129,154)",281025,,,
Espagne,989.9694102,"rgb(28,129,154)",462858,,,
