Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
56 407,5 620, 313, 22,25 773,12 033,10 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,62,197074,31.46026366,,
2,Saguenay Lac St-Jean,342,277632,123.1846473,,
3,Capitale-Nationale,1874,755459,248.0611125,,
4,Mauricie et Centre-du-Québec,2053,522341,393.0382643,,
5,Estrie,979,493163,198.5144871,,
6,Montréal,27554,2065657,1333.909744,,
7,Outaouais,619,401032,154.3517724,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,123,90033,136.6165739,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,193,89998,214.44921,,
12,Chaudière-Appalaches,522,430309,121.3081762,,
13,Laval,5866,442745,1324.916148,,
14,Lanaudière,4289,520092,824.6617906,,
15,Laurentides,3583,626968,571.4805221,,
16,Montérégie,8117,1432751,566.5324959,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1731,,,,,
10-19 ans,2718,,,,,
20-29 ans,7282,,,,,
30-39 ans,7229,,,,,
40-49 ans,8495,,,,,
50-59 ans,8196,,,,,
60-69 ans,5039,,,,,
70-79 ans,4361,,,,,
80-89 ans,6628,,,,,
90 ans et plus,4654,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.2,"rgb(155,207, 229)",,,,
Femmes,58.8,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,101,,,,,
60-69 ans,339,,,,,
70-79 ans,1006,,,,,
80-89 ans,2256,,,,,
90 ans et plus,1889,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,59.73487732,"rgb(28,129,154)",3053,,,
Alberta,194.7816818,"rgb(28,129,154)",8596,,,
Saskatchewan,68.97041973,"rgb(28,129,154)",815,,,
Manitoba,23.59317526,"rgb(28,129,154)",325,,,
Ontario,247.8550081,"rgb(28,129,154)",36464,,,
Québec,660.575217,"rgb(239,117,22)",56407,,,
Terre-Neuve et Labrador,50.25270204,"rgb(28,129,154)",262,,,
Nouveau-Brunswick,21.28224228,"rgb(28,129,154)",166,,,
Nouvelle-Écosse,109.0585059,"rgb(28,129,154)",1066,,,
Île-du-Prince-Édouard,20.86521074,"rgb(28,129,154)",33,,,
Canada,282.9332859,"rgb(179,30,58)",107217,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3537.05607,"rgb(28,129,154)",180776,,,
Alberta,10132.93011,"rgb(28,129,154)",447181,,,
Saskatchewan,5375.969182,"rgb(28,129,154)",63526,,,
Manitoba,4915.075458,"rgb(28,129,154)",67706,,,
Ontario,10757.86169,"rgb(28,129,154)",1582678,,,
Québec,7866.474499,"rgb(239,117,22)",671724,,,
Terre-Neuve et Labrador,3825.534894,"rgb(28,129,154)",19945,,,
Nouveau-Brunswick,5200.559492,"rgb(28,129,154)",40564,,,
Nouvelle-Écosse,5906.960613,"rgb(28,129,154)",57738,,,
Île-du-Prince-Édouard,8770.97586,"rgb(28,129,154)",13872,,,
Canada,8314.589556,"rgb(179,30,58)",3150797,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,660.575217,"rgb(239,117,22)",56407,,,
Canada,282.9332859,"rgb(179,30,58)",107217,,,
États-Unis,995.3210314,"rgb(28,129,154)",3294539,,,
Italie,401.3094146,"rgb(28,129,154)",242639,,,
