Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
56 521,5 627, 306, 20,25 862,10 608,11 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,62,197074,31.46026366,,
2,Saguenay Lac St-Jean,342,277632,123.1846473,,
3,Capitale-Nationale,1875,755459,248.1934824,,
4,Mauricie et Centre-du-Québec,2057,522341,393.8040475,,
5,Estrie,985,493163,199.7311234,,
6,Montréal,27602,2065657,1336.23346,,
7,Outaouais,620,401032,154.6011291,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,124,90033,137.7272778,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,193,89998,214.44921,,
12,Chaudière-Appalaches,522,430309,121.3081762,,
13,Laval,5869,442745,1325.593739,,
14,Lanaudière,4292,520092,825.2386116,,
15,Laurentides,3597,626968,573.713491,,
16,Montérégie,8150,1432751,568.8357572,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1740,,,,,
10-19 ans,2741,,,,,
20-29 ans,7319,,,,,
30-39 ans,7241,,,,,
40-49 ans,8508,,,,,
50-59 ans,8204,,,,,
60-69 ans,5041,,,,,
70-79 ans,4365,,,,,
80-89 ans,6632,,,,,
90 ans et plus,4657,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.2,"rgb(155,207, 229)",,,,
Femmes,58.8,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,101,,,,,
60-69 ans,340,,,,,
70-79 ans,1008,,,,,
80-89 ans,2259,,,,,
90 ans et plus,1890,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,59.73487732,"rgb(28,129,154)",3053,,,
