Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
54 937,5 441, 500, 52,23 710,6 185,23 juin 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,56,197074,28.41572201,,
2,Saguenay Lac St-Jean,330,277632,118.862379,,
3,Capitale-Nationale,1817,755459,240.5160307,,
4,Mauricie et Centre-du-Québec,2042,522341,390.9323603,,
5,Estrie,959,493163,194.4590328,,
6,Montréal,27092,2065657,1311.543979,,
7,Outaouais,578,401032,144.1281494,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,119,90033,132.1737585,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,187,89998,207.7823952,,
12,Chaudière-Appalaches,516,430309,119.9138294,,
13,Laval,5753,442745,1299.393556,,
14,Lanaudière,4156,520092,799.0893919,,
15,Laurentides,3338,626968,532.4035676,,
16,Montérégie,7765,1432751,541.9643748,,
17,Nunavik,16,14260,112.2019635,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1632,,,,,
10-19 ans,2492,,,,,
20-29 ans,6982,,,,,
30-39 ans,7036,,,,,
40-49 ans,8319,,,,,
50-59 ans,8034,,,,,
60-69 ans,4933,,,,,
70-79 ans,4268,,,,,
80-89 ans,6552,,,,,
90 ans et plus,4615,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.1,"rgb(155,207, 229)",,,,
Femmes,58.9,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,96,,,,,
60-69 ans,321,,,,,
70-79 ans,977,,,,,
80-89 ans,2181,,,,,
90 ans et plus,1837,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,44.9,"rgb(155,207, 229)",,,,
Femmes,55.1,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,55.46949794,"rgb(28,129,154)",2835,,,
Alberta,176.3141306,"rgb(28,129,154)",7781,,,
Saskatchewan,63.72359025,"rgb(28,129,154)",753,,,
Manitoba,22.79463702,"rgb(28,129,154)",314,,,
Ontario,230.1073823,"rgb(28,129,154)",33853,,,
Québec,643.3602336,"rgb(239,117,22)",54937,,,
Terre-Neuve et Labrador,50.06089784,"rgb(28,129,154)",261,,,
Nouveau-Brunswick,21.154036,"rgb(28,129,154)",165,,,
Nouvelle-Écosse,108.5469744,"rgb(28,129,154)",1061,,,
Île-du-Prince-Édouard,17.07153606,"rgb(28,129,154)",27,,,
Canada,269.2084473,"rgb(179,30,58)",102016,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3044.228658,"rgb(28,129,154)",155588,,,
Alberta,8092.616922,"rgb(28,129,154)",357139,,,
Saskatchewan,4606.293149,"rgb(28,129,154)",54431,,,
Manitoba,4194.793966,"rgb(28,129,154)",57784,,,
Ontario,7974.244123,"rgb(28,129,154)",1173157,,,
Québec,6663.451642,"rgb(239,117,22)",568997,,,
Terre-Neuve et Labrador,3135.615164,"rgb(28,129,154)",16348,,,
Nouveau-Brunswick,4706.965319,"rgb(28,129,154)",36714,,,
Nouvelle-Écosse,5386.3239,"rgb(28,129,154)",52649,,,
Île-du-Prince-Édouard,6339.23039,"rgb(28,129,154)",10026,,,
Canada,6563.966733,"rgb(179,30,58)",2487402,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,643.3602336,"rgb(239,117,22)",54937,,,
Canada,269.2084473,"rgb(179,30,58)",102016,,,
États-Unis,732.8808373,"rgb(28,129,154)",2425855,,,
Italie,395.0145336,"rgb(28,129,154)",238833,,,
