Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
59 722,5 683, 172, 18,50 886,13 887,2 août 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,70,197074,35.51965252,,
2,Saguenay Lac St-Jean,368,277632,132.549562,,
3,Capitale-Nationale,1959,755459,259.3125504,,
4,Mauricie et Centre-du-Québec,2084,522341,398.9730846,,
5,Estrie,1066,493163,216.1557132,,
6,Montréal,28947,2065657,1401.345916,,
7,Outaouais,682,401032,170.061242,,
8,Abitibi-Témiscamingue,180,147616,121.9380013,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,210,89998,233.3385186,,
12,Chaudière-Appalaches,570,430309,132.462951,,
13,Laval,6074,442745,1371.895787,,
14,Lanaudière,4527,520092,870.4229252,,
15,Laurentides,3937,626968,627.9427339,,
16,Montérégie,8857,1432751,618.1813867,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1871,,,,,
10-19 ans,2972,,,,,
20-29 ans,8078,,,,,
30-39 ans,7613,,,,,
40-49 ans,8792,,,,,
50-59 ans,8415,,,,,
60-69 ans,5132,,,,,
70-79 ans,4424,,,,,
80-89 ans,6681,,,,,
90 ans et plus,4674,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.7,"rgb(155,207, 229)",,,,
Femmes,58.3,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,104,,,,,
60-69 ans,341,,,,,
70-79 ans,1018,,,,,
80-89 ans,2271,,,,,
90 ans et plus,1904,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,71.23966208,"rgb(28,129,154)",3641,,,
Alberta,245.6977403,"rgb(28,129,154)",10843,,,
Saskatchewan,113.5684703,"rgb(28,129,154)",1342,,,
Manitoba,31.57855765,"rgb(28,129,154)",435,,,
Ontario,268.1448062,"rgb(28,129,154)",39449,,,
Québec,699.3967612,"rgb(239,117,22)",59722,,,
Terre-Neuve et Labrador,51.01991887,"rgb(28,129,154)",266,,,
Nouveau-Brunswick,21.79506739,"rgb(28,129,154)",170,,,
Nouvelle-Écosse,109.5700374,"rgb(28,129,154)",1071,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,308.7679658,"rgb(179,30,58)",117007,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,4476.593926,"rgb(28,129,154)",228795,,,
Alberta,12957.62705,"rgb(28,129,154)",571839,,,
Saskatchewan,7499.411847,"rgb(28,129,154)",88618,,,
Manitoba,6284.858916,"rgb(28,129,154)",86575,,,
Ontario,14699.73104,"rgb(28,129,154)",2162599,,,
Québec,9961.619956,"rgb(239,117,22)",850630,,,
Terre-Neuve et Labrador,4845.166054,"rgb(28,129,154)",25261,,,
Nouveau-Brunswick,5976.592098,"rgb(28,129,154)",46617,,,
Nouvelle-Écosse,6682.135378,"rgb(28,129,154)",65315,,,
Île-du-Prince-Édouard,12699.32599,"rgb(28,129,154)",20085,,,
Canada,10957.45092,"rgb(179,30,58)",4152304,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,699.3967612,"rgb(239,117,22)",59722,,,
Canada,308.7679658,"rgb(179,30,58)",117007,,,
États-Unis,1456.657518,"rgb(28,129,154)",4821575,,,
Italie,410.2919419,"rgb(28,129,154)",248070,,,
France,287.8947327,"rgb(28,129,154)",187919,,,
Espagne,717.79188,"rgb(28,129,154)",335602,,,
Allemagne,252.7715872,"rgb(28,129,154)",211782,,,
Chine,5.86581014,"rgb(28,129,154)",84428,,,
Royaume-Uni,448.8332655,"rgb(28,129,154)",304695,,,
Suisse,411.525772,"rgb(28,129,154)",35616,,,
Portugal,505.7416074,"rgb(28,129,154)",51569,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,665.5289163,"rgb(239,117,22)",5683,,,
Canada,236.1010016,"rgb(179,30,58)",8947,,,
États-Unis,478.7182203,"rgb(28,129,154)",158457,,,
Italie,581.4247158,"rgb(28,129,154)",35154,,,
France,463.6643492,"rgb(28,129,154)",30265,,,
Espagne,608.3870188,"rgb(28,129,154)",28445,,,
Allemagne,110.1165663,"rgb(28,129,154)",9226,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,680.5673116,"rgb(28,129,154)",46201,,,
Suisse,228.8950344,"rgb(28,129,154)",1981,,,
Portugal,170.4471511,"rgb(28,129,154)",1738,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,1,0,,,,
10-19 ans,0,0,,,,
20-29 ans,5,1,,,,
30-39 ans,1,0, ,,,
40-49 ans,10,4,,,,
50-59 ans,18,4,,,,
60-69 ans,28,3,,,,
70-79 ans,50,6,,,,
80-89 ans,42,0,,,,
90 ans et plus,17,0,,,,
