Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
55 997,5 590, 347, 26,25 458,5 318,6 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,61,197074,30.95284005,,
2,Saguenay Lac St-Jean,332,277632,119.582757,,
3,Capitale-Nationale,1863,755459,246.6050441,,
4,Mauricie et Centre-du-Québec,2048,522341,392.0810352,,
5,Estrie,971,493163,196.8923054,,
6,Montréal,27437,2065657,1328.245686,,
7,Outaouais,608,401032,151.6088492,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,119,90033,132.1737585,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,191,89998,212.2269384,,
12,Chaudière-Appalaches,521,430309,121.0757851,,
13,Laval,5838,442745,1318.591966,,
14,Lanaudière,4261,520092,819.2781277,,
15,Laurentides,3533,626968,563.5056335,,
16,Montérégie,7983,1432751,557.1798589,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1718,,,,,
10-19 ans,2634,,,,,
20-29 ans,7173,,,,,
30-39 ans,7176,,,,,
40-49 ans,8454,,,,,
50-59 ans,8157,,,,,
60-69 ans,5008,,,,,
70-79 ans,4338,,,,,
80-89 ans,6616,,,,,
90 ans et plus,4649,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.2,"rgb(155,207, 229)",,,,
Femmes,58.8,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,100,,,,,
60-69 ans,335,,,,,
70-79 ans,1002,,,,,
80-89 ans,2245,,,,,
90 ans et plus,1879,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,58.26743029,"rgb(28,129,154)",2978,,,
Alberta,190.0911504,"rgb(28,129,154)",8389,,,
Saskatchewan,68.12415691,"rgb(28,129,154)",805,,,
Manitoba,23.59317526,"rgb(28,129,154)",325,,,
Ontario,244.3476259,"rgb(28,129,154)",35948,,,
Québec,655.773759,"rgb(239,117,22)",55997,,,
Terre-Neuve et Labrador,50.06089784,"rgb(28,129,154)",261,,,
Nouveau-Brunswick,21.154036,"rgb(28,129,154)",165,,,
Nouvelle-Écosse,108.9561996,"rgb(28,129,154)",1065,,,
Île-du-Prince-Édouard,20.23293163,"rgb(28,129,154)",32,,,
Canada,279.708569,"rgb(179,30,58)",105995,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3410.6404,"rgb(28,129,154)",174315,,,
Alberta,9660.070163,"rgb(28,129,154)",426313,,,
Saskatchewan,5193.345666,"rgb(28,129,154)",61368,,,
Manitoba,4740.268178,"rgb(28,129,154)",65298,,,
Ontario,10154.51718,"rgb(28,129,154)",1493915,,,
Québec,7544.706551,"rgb(239,117,22)",644248,,,
Terre-Neuve et Labrador,3620.496197,"rgb(28,129,154)",18876,,,
Nouveau-Brunswick,5055.814603,"rgb(28,129,154)",39435,,,
Nouvelle-Écosse,5753.296564,"rgb(28,129,154)",56236,,,
Île-du-Prince-Édouard,8168.413865,"rgb(28,129,154)",12919,,,
Canada,7911.038135,"rgb(179,30,58)",2997872,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,655.773759,"rgb(239,117,22)",55997,,,
Canada,279.708569,"rgb(179,30,58)",105995,,,
États-Unis,919.2273811,"rgb(28,129,154)",3042667,,,
Italie,399.953187,"rgb(28,129,154)",241819,,,
France,257.8917503,"rgb(28,129,154)",168335,,,
Espagne,639.2266476,"rgb(28,129,154)",298869,,,
Allemagne,236.454618,"rgb(28,129,154)",198111,,,
Chine,5.805851428,"rgb(28,129,154)",83565,,,
Royaume-Uni,420.9527056,"rgb(28,129,154)",285768,,,
Suisse,374.0082467,"rgb(28,129,154)",32369,,,
Portugal,435.5915227,"rgb(28,129,154)",44416,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,654.6378044,"rgb(239,117,22)",5590,,,
Canada,229.7412898,"rgb(179,30,58)",8706,,,
États-Unis,401.9967804,"rgb(28,129,154)",133062,,,
Italie,576.7109978,"rgb(28,129,154)",34869,,,
France,458.3788974,"rgb(28,129,154)",29920,,,
Espagne,607.167892,"rgb(28,129,154)",28388,,,
Allemagne,108.5291499,"rgb(28,129,154)",9093,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,651.621731,"rgb(28,129,154)",44236,,,
Suisse,227.1618564,"rgb(28,129,154)",1966,,,
Portugal,159.7574276,"rgb(28,129,154)",1629,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,2,0,,,,
10-19 ans,1,0,,,,
20-29 ans,6,0,,,,
30-39 ans,5,1, ,,,
40-49 ans,9,0,,,,
50-59 ans,33,7,,,,
60-69 ans,42,5,,,,
70-79 ans,97,5,,,,
80-89 ans,108,7,,,,
90 ans et plus,44,1,,,,
