Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
58 080,5 662, 221, 14,50 505,14 289,22 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,64,197074,32.47511087,,
2,Saguenay Lac St-Jean,364,277632,131.1088059,,
3,Capitale-Nationale,1916,755459,253.6206465,,
4,Mauricie et Centre-du-Québec,2077,522341,397.6329639,,
5,Estrie,999,493163,202.5699414,,
6,Montréal,28273,2065657,1368.717072,,
7,Outaouais,646,401032,161.0844022,,
8,Abitibi-Témiscamingue,175,147616,118.5508346,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,196,89998,217.7826174,,
12,Chaudière-Appalaches,531,430309,123.3996965,,
13,Laval,5942,442745,1342.081785,,
14,Lanaudière,4435,520092,852.7337471,,
15,Laurentides,3726,626968,594.2887037,,
16,Montérégie,8547,1432751,596.5446892,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1824,,,,,
10-19 ans,2909,,,,,
20-29 ans,7856,,,,,
30-39 ans,7519,,,,,
40-49 ans,8699,,,,,
50-59 ans,8342,,,,,
60-69 ans,5107,,,,,
70-79 ans,4408,,,,,
80-89 ans,6668,,,,,
90 ans et plus,4672,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.6,"rgb(155,207, 229)",,,,
Femmes,58.4,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,103,,,,,
60-69 ans,340,,,,,
70-79 ans,1018,,,,,
80-89 ans,2270,,,,,
90 ans et plus,1902,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,65.78075911,"rgb(28,129,154)",3362,,,
Alberta,223.4460405,"rgb(28,129,154)",9861,,,
Saskatchewan,87.16507033,"rgb(28,129,154)",1030,,,
Manitoba,27.15030014,"rgb(28,129,154)",374,,,
Ontario,259.0228936,"rgb(28,129,154)",38107,,,
Québec,680.1675076,"rgb(239,117,22)",58080,,,
Terre-Neuve et Labrador,50.63631045,"rgb(28,129,154)",264,,,
Nouveau-Brunswick,21.79506739,"rgb(28,129,154)",170,,,
Nouvelle-Écosse,109.1608122,"rgb(28,129,154)",1067,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,296.5631247,"rgb(179,30,58)",112382,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,4001.473708,"rgb(28,129,154)",204512,,,
Alberta,11663.83346,"rgb(28,129,154)",514742,,,
Saskatchewan,6241.526794,"rgb(28,129,154)",73754,,,
Manitoba,5561.0203,"rgb(28,129,154)",76604,,,
Ontario,12716.73464,"rgb(28,129,154)",1870864,,,
Québec,8622.235692,"rgb(239,117,22)",736259,,,
Terre-Neuve et Labrador,4355.68172,"rgb(28,129,154)",22709,,,
Nouveau-Brunswick,5623.512006,"rgb(28,129,154)",43863,,,
Nouvelle-Écosse,6325.393342,"rgb(28,129,154)",61828,,,
Île-du-Prince-Édouard,11142.02253,"rgb(28,129,154)",17622,,,
Canada,9574.519712,"rgb(179,30,58)",3628245,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,680.1675076,"rgb(239,117,22)",58080,,,
Canada,296.5631247,"rgb(179,30,58)",112382,,,
États-Unis,1239.770735,"rgb(28,129,154)",4103674,,,
Italie,405.2672839,"rgb(28,129,154)",245032,,,
France,273.2134326,"rgb(28,129,154)",178336,,,
Espagne,672.9387101,"rgb(28,129,154)",314631,,,
Allemagne,244.0443779,"rgb(28,129,154)",204470,,,
Chine,5.817245667,"rgb(28,129,154)",83729,,,
Royaume-Uni,436.5803729,"rgb(28,129,154)",296377,,,
Suisse,392.8536682,"rgb(28,129,154)",34000,,,
Portugal,484.2640895,"rgb(28,129,154)",49379,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,663.069633,"rgb(239,117,22)",5662,,,
Canada,234.0690605,"rgb(179,30,58)",8870,,,
États-Unis,441.7094533,"rgb(28,129,154)",146207,,,
Italie,580.2338818,"rgb(28,129,154)",35082,,,
France,462.2395753,"rgb(28,129,154)",30172,,,
Espagne,607.9806432,"rgb(28,129,154)",28426,,,
Allemagne,109.591406,"rgb(28,129,154)",9182,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,670.2559088,"rgb(28,129,154)",45501,,,
Suisse,228.2017632,"rgb(28,129,154)",1975,,,
Portugal,167.2108128,"rgb(28,129,154)",1705,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,1,0,,,,
10-19 ans,2,0,,,,
20-29 ans,7,1,,,,
30-39 ans,3,0, ,,,
40-49 ans,6,1,,,,
50-59 ans,21,4,,,,
60-69 ans,34,1,,,,
70-79 ans,67,4,,,,
80-89 ans,58,3,,,,
90 ans et plus,22,0,,,,
