Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
54 146,5 269, 718, 77,22 350,5 200,15 juin 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,49,197074,24.86375676,,
2,Saguenay Lac St-Jean,329,277632,118.5021899,,
3,Capitale-Nationale,1771,755459,234.4270172,,
4,Mauricie et Centre-du-Québec,2031,522341,388.8264563,,
5,Estrie,948,493163,192.228533,,
6,Montréal,26756,2065657,1295.277967,,
7,Outaouais,573,401032,142.8813661,,
8,Abitibi-Témiscamingue,168,147616,113.8088012,,
9,Côte-Nord,119,90033,132.1737585,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,186,89998,206.6712594,,
12,Chaudière-Appalaches,512,430309,118.9842648,,
13,Laval,5686,442745,1284.260692,,
14,Lanaudière,4132,520092,794.4748237,,
15,Laurentides,3200,626968,510.3928749,,
16,Montérégie,7628,1432751,532.4023504,,
17,Nunavik,16,14260,112.2019635,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1595,,,,,
10-19 ans,2443,,,,,
20-29 ans,6792,,,,,
30-39 ans,6936,,,,,
40-49 ans,8208,,,,,
50-59 ans,7935,,,,,
60-69 ans,4867,,,,,
70-79 ans,4221,,,,,
80-89 ans,6500,,,,,
90 ans et plus,4579,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.1,"rgb(155,207, 229)",,,,
Femmes,58.9,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,19,,,,,
50-59 ans,91,,,,,
60-69 ans,312,,,,,
70-79 ans,950,,,,,
80-89 ans,2111,,,,,
90 ans et plus,1777,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,53.7085615,"rgb(28,129,154)",2745,,,
Alberta,168.8817909,"rgb(28,129,154)",7453,,,
Saskatchewan,57.79975052,"rgb(28,129,154)",683,,,
Manitoba,22.06869316,"rgb(28,129,154)",304,,,
Ontario,220.0270571,"rgb(28,129,154)",32370,,,
Québec,634.096933,"rgb(239,117,22)",54146,,,
Terre-Neuve et Labrador,50.06089784,"rgb(28,129,154)",261,,,
Nouveau-Brunswick,20.5130046,"rgb(28,129,154)",160,,,
Nouvelle-Écosse,108.5469744,"rgb(28,129,154)",1061,,,
Île-du-Prince-Édouard,17.07153606,"rgb(28,129,154)",27,,,
Canada,261.8802649,"rgb(179,30,58)",99239,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,2808.184911,"rgb(28,129,154)",143524,,,
Alberta,6953.928105,"rgb(28,129,154)",306887,,,
Saskatchewan,4259.325393,"rgb(28,129,154)",50331,,,
Manitoba,3872.329706,"rgb(28,129,154)",53342,,,
Ontario,6742.643181,"rgb(28,129,154)",991966,,,
Québec,6186.210142,"rgb(239,117,22)",528245,,,
Terre-Neuve et Labrador,2818.371007,"rgb(28,129,154)",14694,,,
Nouveau-Brunswick,4392.475317,"rgb(28,129,154)",34261,,,
Nouvelle-Écosse,5147.336405,"rgb(28,129,154)",50313,,,
Île-du-Prince-Édouard,5532.442241,"rgb(28,129,154)",8750,,,
Canada,5770.559701,"rgb(179,30,58)",2186742,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,634.096933,"rgb(239,117,22)",54146,,,
Canada,261.8802649,"rgb(179,30,58)",99239,,,
États-Unis,660.7808105,"rgb(28,129,154)",2187202,,,
Italie,392.4625101,"rgb(28,129,154)",237290,,,
France,241.0962695,"rgb(28,129,154)",157372,,,
Espagne,622.8005189,"rgb(28,129,154)",291189,,,
Allemagne,224.489318,"rgb(28,129,154)",188086,,,
Chine,5.781951315,"rgb(28,129,154)",83221,,,
Royaume-Uni,439.1714811,"rgb(28,129,154)",298136,,,
Suisse,359.8770692,"rgb(28,129,154)",31146,,,
Portugal,366.1573553,"rgb(28,129,154)",37336,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,617.0459018,"rgb(239,117,22)",5269,,,
Canada,216.4413116,"rgb(179,30,58)",8202,,,
États-Unis,357.806802,"rgb(28,129,154)",118435,,,
Italie,568.4743957,"rgb(28,129,154)",34371,,,
France,450.9639446,"rgb(28,129,154)",29436,,,
Espagne,580.3898802,"rgb(28,129,154)",27136,,,
Allemagne,106.0704449,"rgb(28,129,154)",8887,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,618.2275167,"rgb(28,129,154)",41969,,,
Suisse,224.0421361,"rgb(28,129,154)",1939,,,
Portugal,149.2638458,"rgb(28,129,154)",1522,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,0,0,,,,
10-19 ans,2,0,,,,
20-29 ans,5,1,,,,
30-39 ans,6,1, ,,,
40-49 ans,18,4,,,,
50-59 ans,54,15,,,,
60-69 ans,102,25,,,,
70-79 ans,182,23,,,,
80-89 ans,231,7,,,,
90 ans et plus,118,1,,,,
