Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
55 079,5 448, 487, 50,23 786,7 917,24 juin 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,57,197074,28.92314562,,
2,Saguenay Lac St-Jean,330,277632,118.862379,,
3,Capitale-Nationale,1823,755459,241.3102498,,
4,Mauricie et Centre-du-Québec,2042,522341,390.9323603,,
5,Estrie,959,493163,194.4590328,,
6,Montréal,27148,2065657,1314.25498,,
7,Outaouais,581,401032,144.8762194,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,119,90033,132.1737585,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,187,89998,207.7823952,,
12,Chaudière-Appalaches,518,430309,120.3786116,,
13,Laval,5762,442745,1301.426329,,
14,Lanaudière,4186,520092,804.8576021,,
15,Laurentides,3357,626968,535.4340253,,
16,Montérégie,7781,1432751,543.0811076,,
17,Nunavik,16,14260,112.2019635,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1644,,,,,
10-19 ans,2504,,,,,
20-29 ans,7013,,,,,
30-39 ans,7059,,,,,
40-49 ans,8339,,,,,
50-59 ans,8052,,,,,
60-69 ans,4940,,,,,
70-79 ans,4275,,,,,
80-89 ans,6562,,,,,
90 ans et plus,4617,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.1,"rgb(155,207, 229)",,,,
Femmes,58.9,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,96,,,,,
60-69 ans,323,,,,,
70-79 ans,977,,,,,
80-89 ans,2183,,,,,
90 ans et plus,1840,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,44.9,"rgb(155,207, 229)",,,,
Femmes,55.1,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,55.74342139,"rgb(28,129,154)",2849,,,
Alberta,177.3111517,"rgb(28,129,154)",7825,,,
Saskatchewan,64.06209538,"rgb(28,129,154)",757,,,
Manitoba,22.8672314,"rgb(28,129,154)",315,,,
Ontario,231.2153344,"rgb(28,129,154)",34016,,,
Québec,645.0231776,"rgb(239,117,22)",55079,,,
Terre-Neuve et Labrador,50.06089784,"rgb(28,129,154)",261,,,
Nouveau-Brunswick,21.154036,"rgb(28,129,154)",165,,,
Nouvelle-Écosse,108.5469744,"rgb(28,129,154)",1061,,,
Île-du-Prince-Édouard,17.07153606,"rgb(28,129,154)",27,,,
Canada,270.1795568,"rgb(179,30,58)",102384,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3066.709947,"rgb(28,129,154)",156737,,,
Alberta,8218.604143,"rgb(28,129,154)",362699,,,
Saskatchewan,4648.775542,"rgb(28,129,154)",54933,,,
Manitoba,4236.463143,"rgb(28,129,154)",58358,,,
Ontario,8126.828843,"rgb(28,129,154)",1195605,,,
Québec,6715.928064,"rgb(239,117,22)",573478,,,
Terre-Neuve et Labrador,3178.195698,"rgb(28,129,154)",16570,,,
Nouveau-Brunswick,4740.939983,"rgb(28,129,154)",36979,,,
Nouvelle-Écosse,5415.685805,"rgb(28,129,154)",52936,,,
Île-du-Prince-Édouard,6434.704536,"rgb(28,129,154)",10177,,,
Canada,6658.25144,"rgb(179,30,58)",2523131,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,645.0231776,"rgb(239,117,22)",55079,,,
Canada,270.1795568,"rgb(179,30,58)",102384,,,
États-Unis,744.5713781,"rgb(28,129,154)",2464551,,,
Italie,395.9688548,"rgb(28,129,154)",239410,,,
France,247.1875613,"rgb(28,129,154)",161348,,,
Espagne,629.1677826,"rgb(28,129,154)",294166,,,
Allemagne,230.6897902,"rgb(28,129,154)",193281,,,
Chine,5.797792088,"rgb(28,129,154)",83449,,,
Royaume-Uni,453.6722595,"rgb(28,129,154)",307980,,,
Suisse,363.1354437,"rgb(28,129,154)",31428,,,
Portugal,396.3533724,"rgb(28,129,154)",40415,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,638.0083646,"rgb(239,117,22)",5448,,,
Canada,224.067688,"rgb(179,30,58)",8491,,,
États-Unis,375.6193481,"rgb(28,129,154)",124331,,,
Italie,572.9896414,"rgb(28,129,154)",34644,,,
France,455.483389,"rgb(28,129,154)",29731,,,
Espagne,605.8632125,"rgb(28,129,154)",28327,,,
Allemagne,107.4549584,"rgb(28,129,154)",9003,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,636.8027722,"rgb(28,129,154)",43230,,,
Suisse,226.2374948,"rgb(28,129,154)",1958,,,
Portugal,151.911759,"rgb(28,129,154)",1549,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,1,1,,,,
10-19 ans,1,0,,,,
20-29 ans,5,0,,,,
30-39 ans,4,1, ,,,
40-49 ans,13,3,,,,
50-59 ans,45,7,,,,
60-69 ans,74,10,,,,
70-79 ans,129,20,,,,
80-89 ans,153,7,,,,
90 ans et plus,62,1,,,,
