Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
62 056,5 750, 115, 15,55 008,15 676,26 août 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,74,197074,37.54934695,,
2,Saguenay Lac St-Jean,376,277632,135.4310742,,
3,Capitale-Nationale,2029,755459,268.5784404,,
4,Mauricie et Centre-du-Québec,2134,522341,408.5453755,,
5,Estrie,1199,493163,243.1244842,,
6,Montréal,29754,2065657,1440.413389,,
7,Outaouais,797,401032,198.7372579,,
8,Abitibi-Témiscamingue,180,147616,121.9380013,,
9,Côte-Nord,127,90033,141.0593893,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,211,89998,234.4496544,,
12,Chaudière-Appalaches,599,430309,139.2022942,,
13,Laval,6263,442745,1414.584016,,
14,Lanaudière,4800,520092,922.9136384,,
15,Laurentides,4190,626968,668.2956706,,
16,Montérégie,9255,1432751,645.9601145,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,2073,,,,,
10-19 ans,3359,,,,,
20-29 ans,8959,,,,,
30-39 ans,8116,,,,,
40-49 ans,9237,,,,,
50-59 ans,8798,,,,,
60-69 ans,5336,,,,,
70-79 ans,4576,,,,,
80-89 ans,6800,,,,,
90 ans et plus,4731,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,42.2,"rgb(155,207, 229)",,,,
Femmes,57.8,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,1,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,107,,,,,
60-69 ans,347,,,,,
70-79 ans,1031,,,,,
80-89 ans,2304,,,,,
90 ans et plus,1931,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.1,"rgb(155,207, 229)",,,,
Femmes,54.9,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,103.7778543,"rgb(28,129,154)",5304,,,
Alberta,299.3329475,"rgb(28,129,154)",13210,,,
Saskatchewan,135.7405561,"rgb(28,129,154)",1604,,,
Manitoba,75.71594398,"rgb(28,129,154)",1043,,,
Ontario,283.4114349,"rgb(28,129,154)",41695,,,
Québec,726.729939,"rgb(239,117,22)",62056,,,
Terre-Neuve et Labrador,51.40352728,"rgb(28,129,154)",268,,,
Nouveau-Brunswick,24.35919297,"rgb(28,129,154)",190,,,
Nouvelle-Écosse,110.5931003,"rgb(28,129,154)",1081,,,
Île-du-Prince-Édouard,27.82028098,"rgb(28,129,154)",44,,,
Canada,333.8927857,"rgb(179,30,58)",126528,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
