Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
59 312,5 674, 189, 15,50 886,17 293,30 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,66,197074,33.48995809,,
2,Saguenay Lac St-Jean,367,277632,132.189373,,
3,Capitale-Nationale,1954,755459,258.6507011,,
4,Mauricie et Centre-du-Québec,2081,522341,398.3987472,,
5,Estrie,1055,493163,213.9252134,,
6,Montréal,28772,2065657,1392.874035,,
7,Outaouais,672,401032,167.5676754,,
8,Abitibi-Témiscamingue,180,147616,121.9380013,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,206,89998,228.8939754,,
12,Chaudière-Appalaches,563,430309,130.836213,,
13,Laval,6052,442745,1366.926786,,
14,Lanaudière,4497,520092,864.6547149,,
15,Laurentides,3877,626968,618.3728675,,
16,Montérégie,8779,1432751,612.7373144,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1871,,,,,
10-19 ans,2972,,,,,
20-29 ans,8078,,,,,
30-39 ans,7613,,,,,
40-49 ans,8792,,,,,
50-59 ans,8415,,,,,
60-69 ans,5132,,,,,
70-79 ans,4424,,,,,
80-89 ans,6681,,,,,
90 ans et plus,4674,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.7,"rgb(155,207, 229)",,,,
Femmes,58.3,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,104,,,,,
60-69 ans,341,,,,,
70-79 ans,1018,,,,,
80-89 ans,2271,,,,,
90 ans et plus,1904,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,70.26136406,"rgb(28,129,154)",3591,,,
Alberta,242.8199747,"rgb(28,129,154)",10716,,,
Saskatchewan,110.5219241,"rgb(28,129,154)",1306,,,
Manitoba,29.69110363,"rgb(28,129,154)",409,,,
Ontario,265.6026339,"rgb(28,129,154)",39075,,,
Québec,694.5953033,"rgb(239,117,22)",59312,,,
Terre-Neuve et Labrador,51.01991887,"rgb(28,129,154)",266,,,
Nouveau-Brunswick,21.79506739,"rgb(28,129,154)",170,,,
Nouvelle-Écosse,109.1608122,"rgb(28,129,154)",1067,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,306.0578313,"rgb(179,30,58)",115980,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,4338.301718,"rgb(28,129,154)",221727,,,
Alberta,12826.54143,"rgb(28,129,154)",566054,,,
Saskatchewan,7086.435592,"rgb(28,129,154)",83738,,,
Manitoba,6212.264531,"rgb(28,129,154)",85575,,,
Ontario,14083.27463,"rgb(28,129,154)",2071907,,,
Québec,9599.601737,"rgb(239,117,22)",819717,,,
Terre-Neuve et Labrador,4732.001573,"rgb(28,129,154)",24671,,,
Nouveau-Brunswick,5883.257927,"rgb(28,129,154)",45889,,,
Nouvelle-Écosse,6582.284438,"rgb(28,129,154)",64339,,,
Île-du-Prince-Édouard,12311.73889,"rgb(28,129,154)",19472,,,
Canada,10579.23015,"rgb(179,30,58)",4008978,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,694.5953033,"rgb(239,117,22)",59312,,,
Canada,306.0578313,"rgb(179,30,58)",115980,,,
États-Unis,1404.016852,"rgb(28,129,154)",4647333,,,
Italie,408.7835521,"rgb(28,129,154)",247158,,,
France,285.8326404,"rgb(28,129,154)",186573,,,
Espagne,711.1786522,"rgb(28,129,154)",332510,,,
Allemagne,250.7783651,"rgb(28,129,154)",210112,,,
Chine,5.856361258,"rgb(28,129,154)",84292,,,
