Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
54 674,5 408, 529, 62,23 201,9 870,19 juin 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,53,197074,26.89345119,,
2,Saguenay Lac St-Jean,330,277632,118.862379,,
3,Capitale-Nationale,1802,755459,238.5304828,,
4,Mauricie et Centre-du-Québec,2040,522341,390.5494686,,
5,Estrie,953,493163,193.2423965,,
6,Montréal,27000,2065657,1307.09019,,
7,Outaouais,576,401032,143.6294361,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,119,90033,132.1737585,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,187,89998,207.7823952,,
12,Chaudière-Appalaches,512,430309,118.9842648,,
13,Laval,5723,442745,1292.617647,,
14,Lanaudière,4147,520092,797.3589288,,
15,Laurentides,3280,626968,523.1526968,,
16,Montérégie,7723,1432751,539.0329513,,
17,Nunavik,16,14260,112.2019635,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1615,,,,,
10-19 ans,2477,,,,,
20-29 ans,6912,,,,,
30-39 ans,7004,,,,,
40-49 ans,8285,,,,,
50-59 ans,8003,,,,,
60-69 ans,4906,,,,,
70-79 ans,4250,,,,,
80-89 ans,6540,,,,,
90 ans et plus,4609,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.1,"rgb(155,207, 229)",,,,
Femmes,58.9,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,94,,,,,
60-69 ans,315,,,,,
70-79 ans,970,,,,,
80-89 ans,2170,,,,,
90 ans et plus,1830,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,44.9,"rgb(155,207, 229)",,,,
Femmes,55.1,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,54.58902972,"rgb(28,129,154)",2790,,,
Alberta,172.7792373,"rgb(28,129,154)",7625,,,
Saskatchewan,59.746155,"rgb(28,129,154)",706,,,
Manitoba,22.57685386,"rgb(28,129,154)",311,,,
Ontario,224.9550651,"rgb(28,129,154)",33095,,,
Québec,640.280274,"rgb(239,117,22)",54674,,,
Terre-Neuve et Labrador,50.06089784,"rgb(28,129,154)",261,,,
