Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
57 938,5 662, 235, 16,50 373,11 760,21 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,64,197074,32.47511087,,
2,Saguenay Lac St-Jean,364,277632,131.1088059,,
3,Capitale-Nationale,1913,755459,253.2235369,,
4,Mauricie et Centre-du-Québec,2075,522341,397.2500723,,
5,Estrie,998,493163,202.3671687,,
6,Montréal,28227,2065657,1366.490177,,
7,Outaouais,643,401032,160.3363323,,
8,Abitibi-Témiscamingue,173,147616,117.1959679,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,196,89998,217.7826174,,
12,Chaudière-Appalaches,530,430309,123.1673054,,
13,Laval,5928,442745,1338.919694,,
14,Lanaudière,4427,520092,851.1955577,,
15,Laurentides,3712,626968,592.0557349,,
16,Montérégie,8501,1432751,593.3340825,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1815,,,,,
10-19 ans,2895,,,,,
20-29 ans,7802,,,,,
30-39 ans,7500,,,,,
40-49 ans,8682,,,,,
50-59 ans,8324,,,,,
60-69 ans,5104,,,,,
70-79 ans,4407,,,,,
80-89 ans,6665,,,,,
90 ans et plus,4670,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.6,"rgb(155,207, 229)",,,,
Femmes,58.4,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,103,,,,,
60-69 ans,341,,,,,
70-79 ans,1018,,,,,
80-89 ans,2270,,,,,
90 ans et plus,1901,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,65.11551645,"rgb(28,129,154)",3328,,,
Alberta,220.4323174,"rgb(28,129,154)",9728,,,
Saskatchewan,82.08749342,"rgb(28,129,154)",970,,,
Manitoba,26.56954506,"rgb(28,129,154)",366,,,
Ontario,257.901347,"rgb(28,129,154)",37942,,,
Québec,678.5045637,"rgb(239,117,22)",57938,,,
Terre-Neuve et Labrador,50.44450625,"rgb(28,129,154)",263,,,
Nouveau-Brunswick,21.79506739,"rgb(28,129,154)",170,,,
Nouvelle-Écosse,109.1608122,"rgb(28,129,154)",1067,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,295.1302103,"rgb(179,30,58)",111839,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3968.935516,"rgb(28,129,154)",202849,,,
Alberta,11532.72518,"rgb(28,129,154)",508956,,,
Saskatchewan,6154.615602,"rgb(28,129,154)",72727,,,
Manitoba,5507.590832,"rgb(28,129,154)",75868,,,
Ontario,12558.9976,"rgb(28,129,154)",1847658,,,
Québec,8991.514653,"rgb(239,117,22)",767792,,,
Terre-Neuve et Labrador,4287.974835,"rgb(28,129,154)",22356,,,
Nouveau-Brunswick,5581.460346,"rgb(28,129,154)",43535,,,
Nouvelle-Écosse,6289.483834,"rgb(28,129,154)",61477,,,
Île-du-Prince-Édouard,11059.82625,"rgb(28,129,154)",17492,,,
Canada,9569.046665,"rgb(179,30,58)",3626171,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,678.5045637,"rgb(239,117,22)",57938,,,
Canada,295.1302103,"rgb(179,30,58)",111839,,,
États-Unis,1217.795685,"rgb(28,129,154)",4030936,,,
Italie,404.8041817,"rgb(28,129,154)",244752,,,
France,271.6844816,"rgb(28,129,154)",177338,,,
Espagne,670.036333,"rgb(28,129,154)",313274,,,
Allemagne,243.5597981,"rgb(28,129,154)",204064,,,
Chine,5.815717172,"rgb(28,129,154)",83707,,,
Royaume-Uni,435.7554607,"rgb(28,129,154)",295817,,,
Suisse,391.5017894,"rgb(28,129,154)",33883,,,
Portugal,479.5468813,"rgb(28,129,154)",48898,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,663.069633,"rgb(239,117,22)",5662,,,
Canada,233.9635051,"rgb(179,30,58)",8866,,,
États-Unis,438.0236822,"rgb(28,129,154)",144987,,,
Italie,580.0850275,"rgb(28,129,154)",35073,,,
France,462.1323342,"rgb(28,129,154)",30165,,,
Espagne,607.9378668,"rgb(28,129,154)",28424,,,
Allemagne,109.567535,"rgb(28,129,154)",9180,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,669.0921934,"rgb(28,129,154)",45422,,,
Suisse,227.8551276,"rgb(28,129,154)",1972,,,
Portugal,166.426246,"rgb(28,129,154)",1697,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,0,0,,,,
10-19 ans,2,0,,,,
20-29 ans,6,1,,,,
30-39 ans,3,0, ,,,
40-49 ans,7,1,,,,
50-59 ans,22,4,,,,
60-69 ans,33,2,,,,
70-79 ans,75,5,,,,
80-89 ans,62,3,,,,
90 ans et plus,25,0,,,,
