Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
59 845,5 685, 169, 21,50 886,10 325,3 août 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,70,197074,35.51965252,,
2,Saguenay Lac St-Jean,368,277632,132.549562,,
3,Capitale-Nationale,1959,755459,259.3125504,,
4,Mauricie et Centre-du-Québec,2097,522341,401.4618803,,
5,Estrie,1069,493163,216.7640314,,
6,Montréal,28987,2065657,1403.282346,,
7,Outaouais,682,401032,170.061242,,
8,Abitibi-Témiscamingue,180,147616,121.9380013,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,210,89998,233.3385186,,
12,Chaudière-Appalaches,570,430309,132.462951,,
13,Laval,6084,442745,1374.154423,,
14,Lanaudière,4544,520092,873.6915776,,
15,Laurentides,3961,626968,631.7706805,,
16,Montérégie,8873,1432751,619.2981195,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1871,,,,,
10-19 ans,2972,,,,,
20-29 ans,8078,,,,,
30-39 ans,7613,,,,,
40-49 ans,8792,,,,,
50-59 ans,8415,,,,,
60-69 ans,5132,,,,,
70-79 ans,4424,,,,,
80-89 ans,6681,,,,,
90 ans et plus,4674,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.7,"rgb(155,207, 229)",,,,
Femmes,58.3,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,104,,,,,
60-69 ans,341,,,,,
70-79 ans,1018,,,,,
80-89 ans,2271,,,,,
90 ans et plus,1904,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,71.23966208,"rgb(28,129,154)",3641,,,
Alberta,245.6977403,"rgb(28,129,154)",10843,,,
Saskatchewan,115.0071171,"rgb(28,129,154)",1359,,,
Manitoba,32.08671835,"rgb(28,129,154)",442,,,
Ontario,268.1448062,"rgb(28,129,154)",39449,,,
Québec,700.8371986,"rgb(239,117,22)",59845,,,
Terre-Neuve et Labrador,51.01991887,"rgb(28,129,154)",266,,,
Nouveau-Brunswick,21.79506739,"rgb(28,129,154)",170,,,
Nouvelle-Écosse,109.5700374,"rgb(28,129,154)",1071,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,309.1558818,"rgb(179,30,58)",117154,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,4514.864945,"rgb(28,129,154)",230751,,,
Alberta,12957.62705,"rgb(28,129,154)",571839,,,
Saskatchewan,7582.514856,"rgb(28,129,154)",89600,,,
Manitoba,6284.858916,"rgb(28,129,154)",86575,,,
Ontario,14851.09905,"rgb(28,129,154)",2184868,,,
Québec,10048.11646,"rgb(239,117,22)",858016,,,
Terre-Neuve et Labrador,4881.800658,"rgb(28,129,154)",25452,,,
Nouveau-Brunswick,5998.002546,"rgb(28,129,154)",46784,,,
Nouvelle-Écosse,6705.461212,"rgb(28,129,154)",65543,,,
Île-du-Prince-Édouard,12761.28934,"rgb(28,129,154)",20183,,,
Canada,11045.26508,"rgb(179,30,58)",4185581,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,700.8371986,"rgb(239,117,22)",59845,,,
Canada,309.1558818,"rgb(179,30,58)",117154,,,
États-Unis,1471.581265,"rgb(28,129,154)",4870973,,,
Italie,410.5549177,"rgb(28,129,154)",248229,,,
France,293.0668154,"rgb(28,129,154)",191295,,,
Espagne,736.0402823,"rgb(28,129,154)",344134,,,
Allemagne,253.426844,"rgb(28,129,154)",212331,,,
Chine,5.868311315,"rgb(28,129,154)",84464,,,
Royaume-Uni,450.2002629,"rgb(28,129,154)",305623,,,
Suisse,413.0278596,"rgb(28,129,154)",35746,,,
Portugal,506.840001,"rgb(28,129,154)",51681,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,665.7631338,"rgb(239,117,22)",5685,,,
Canada,236.1537793,"rgb(179,30,58)",8949,,,
États-Unis,481.1472039,"rgb(28,129,154)",159261,,,
Italie,581.6231882,"rgb(28,129,154)",35166,,,
France,464.1086336,"rgb(28,129,154)",30294,,,
Espagne,608.9644998,"rgb(28,129,154)",28472,,,
Allemagne,110.188179,"rgb(28,129,154)",9232,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,680.6998868,"rgb(28,129,154)",46210,,,
Suisse,228.8950344,"rgb(28,129,154)",1981,,,
Portugal,170.545222,"rgb(28,129,154)",1739,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,1,0,,,,
10-19 ans,0,0,,,,
20-29 ans,7,2,,,,
30-39 ans,2,0, ,,,
40-49 ans,9,4,,,,
50-59 ans,18,4,,,,
60-69 ans,29,3,,,,
70-79 ans,51,7,,,,
80-89 ans,38,1,,,,
90 ans et plus,14,0,,,,
