Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
56 079,5 603, 331, 27,25 534,7 154,7 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,62,197074,31.46026366,,
2,Saguenay Lac St-Jean,335,277632,120.6633241,,
3,Capitale-Nationale,1865,755459,246.8697838,,
4,Mauricie et Centre-du-Québec,2050,522341,392.4639268,,
5,Estrie,972,493163,197.0950781,,
6,Montréal,27460,2065657,1329.359134,,
7,Outaouais,609,401032,151.8582058,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,120,90033,133.2844624,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,191,89998,212.2269384,,
12,Chaudière-Appalaches,521,430309,121.0757851,,
13,Laval,5848,442745,1320.850602,,
14,Lanaudière,4266,520092,820.2394961,,
15,Laurentides,3544,626968,565.260109,,
16,Montérégie,8005,1432751,558.7153665,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1720,,,,,
10-19 ans,2651,,,,,
20-29 ans,7193,,,,,
30-39 ans,7189,,,,,
40-49 ans,8459,,,,,
50-59 ans,8165,,,,,
60-69 ans,5014,,,,,
70-79 ans,4345,,,,,
80-89 ans,6620,,,,,
90 ans et plus,4650,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.2,"rgb(155,207, 229)",,,,
Femmes,58.8,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,100,,,,,
60-69 ans,335,,,,,
70-79 ans,1004,,,,,
80-89 ans,2249,,,,,
90 ans et plus,1886,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,58.50222181,"rgb(28,129,154)",2990,,,
Alberta,191.1561503,"rgb(28,129,154)",8436,,,
Saskatchewan,68.20878319,"rgb(28,129,154)",806,,,
Manitoba,23.59317526,"rgb(28,129,154)",325,,,
Ontario,245.1089182,"rgb(28,129,154)",36060,,,
Québec,656.7340506,"rgb(239,117,22)",56079,,,
Terre-Neuve et Labrador,50.06089784,"rgb(28,129,154)",261,,,
Nouveau-Brunswick,21.154036,"rgb(28,129,154)",165,,,
Nouvelle-Écosse,108.9561996,"rgb(28,129,154)",1065,,,
Île-du-Prince-Édouard,20.23293163,"rgb(28,129,154)",32,,,
Canada,280.3788457,"rgb(179,30,58)",106249,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3434.863059,"rgb(28,129,154)",175553,,,
Alberta,9768.586854,"rgb(28,129,154)",431102,,,
Saskatchewan,5219.410561,"rgb(28,129,154)",61676,,,
Manitoba,4767.999233,"rgb(28,129,154)",65680,,,
Ontario,10253.94059,"rgb(28,129,154)",1508542,,,
Québec,7599.466593,"rgb(239,117,22)",648924,,,
Terre-Neuve et Labrador,3663.268535,"rgb(28,129,154)",19099,,,
Nouveau-Brunswick,5083.635366,"rgb(28,129,154)",39652,,,
Nouvelle-Écosse,5785.523046,"rgb(28,129,154)",56551,,,
Île-du-Prince-Édouard,8277.798151,"rgb(28,129,154)",13092,,,
Canada,7982.224685,"rgb(179,30,58)",3024848,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,656.7340506,"rgb(239,117,22)",56079,,,
Canada,280.3788457,"rgb(179,30,58)",106249,,,
États-Unis,936.2338914,"rgb(28,129,154)",3098959,,,
Italie,400.1797762,"rgb(28,129,154)",241956,,,
France,258.6194574,"rgb(28,129,154)",168810,,,
Espagne,639.9559848,"rgb(28,129,154)",299210,,,
Allemagne,236.9917138,"rgb(28,129,154)",198561,,,
Chine,5.806337767,"rgb(28,129,154)",83572,,,
Royaume-Uni,421.808552,"rgb(28,129,154)",286349,,,
Suisse,375.4987797,"rgb(28,129,154)",32498,,,
Portugal,435.5915227,"rgb(28,129,154)",44416,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,656.1602179,"rgb(239,117,22)",5603,,,
Canada,230.216289,"rgb(179,30,58)",8724,,,
États-Unis,404.9212283,"rgb(28,129,154)",134030,,,
Italie,577.2071786,"rgb(28,129,154)",34899,,,
France,458.5780593,"rgb(28,129,154)",29933,,,
Espagne,607.2534448,"rgb(28,129,154)",28392,,,
Allemagne,108.6723754,"rgb(28,129,154)",9105,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,653.9049702,"rgb(28,129,154)",44391,,,
Suisse,227.1618564,"rgb(28,129,154)",1966,,,
Portugal,159.7574276,"rgb(28,129,154)",1629,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,2,0,,,,
10-19 ans,1,0,,,,
20-29 ans,7,0,,,,
30-39 ans,4,1, ,,,
40-49 ans,11,1,,,,
50-59 ans,32,8,,,,
60-69 ans,43,5,,,,
70-79 ans,94,5,,,,
80-89 ans,103,6,,,,
90 ans et plus,34,1,,,,
