Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
56 859,5 636, 285, 20,26 097,9 601,14 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,62,197074,31.46026366,,
2,Saguenay Lac St-Jean,352,277632,126.7865376,,
3,Capitale-Nationale,1900,755459,251.5027288,,
4,Mauricie et Centre-du-Québec,2061,522341,394.5698308,,
5,Estrie,987,493163,200.1366688,,
6,Montréal,27732,2065657,1342.526857,,
7,Outaouais,628,401032,156.5959824,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,124,90033,137.7272778,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,193,89998,214.44921,,
12,Chaudière-Appalaches,523,430309,121.5405674,,
13,Laval,5877,442745,1327.400648,,
14,Lanaudière,4307,520092,828.1227168,,
15,Laurentides,3631,626968,579.1364153,,
16,Montérégie,8250,1432751,575.8153371,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1766,,,,,
10-19 ans,2792,,,,,
20-29 ans,7417,,,,,
30-39 ans,7297,,,,,
40-49 ans,8540,,,,,
50-59 ans,8233,,,,,
60-69 ans,5059,,,,,
70-79 ans,4378,,,,,
80-89 ans,6644,,,,,
90 ans et plus,4660,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.3,"rgb(155,207, 229)",,,,
Femmes,58.7,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,101,,,,,
60-69 ans,341,,,,,
70-79 ans,1010,,,,,
80-89 ans,2261,,,,,
90 ans et plus,1894,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.1,"rgb(155,207, 229)",,,,
Femmes,54.9,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
