Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
54 550,5 375, 574, 62,22 972,9 750,18 juin 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,52,197074,26.38602758,,
2,Saguenay Lac St-Jean,330,277632,118.862379,,
3,Capitale-Nationale,1797,755459,237.8686335,,
4,Mauricie et Centre-du-Québec,2039,522341,390.3580228,,
5,Estrie,953,493163,193.2423965,,
6,Montréal,26936,2065657,1303.991902,,
7,Outaouais,576,401032,143.6294361,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,119,90033,132.1737585,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,187,89998,207.7823952,,
12,Chaudière-Appalaches,512,430309,118.9842648,,
13,Laval,5716,442745,1291.036601,,
14,Lanaudière,4141,520092,796.2052868,,
15,Laurentides,3260,626968,519.9627413,,
16,Montérégie,7703,1432751,537.6370353,,
17,Nunavik,16,14260,112.2019635,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1610,,,,,
10-19 ans,2471,,,,,
20-29 ans,6881,,,,,
30-39 ans,6983,,,,,
40-49 ans,8271,,,,,
50-59 ans,7988,,,,,
60-69 ans,4902,,,,,
70-79 ans,4245,,,,,
80-89 ans,6527,,,,,
90 ans et plus,4599,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.1,"rgb(155,207, 229)",,,,
Femmes,58.9,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,93,,,,,
60-69 ans,316,,,,,
70-79 ans,965,,,,,
80-89 ans,2154,,,,,
90 ans et plus,1818,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,44.9,"rgb(155,207, 229)",,,,
