Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
64 056,5 771, 113, 14,56 400,13 658,8 septembre 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,79,197074,40.08646498,,
2,Saguenay Lac St-Jean,380,277632,136.8718303,,
3,Capitale-Nationale,2367,755459,313.3194521,,
4,Mauricie et Centre-du-Québec,2164,522341,414.2887501,,
5,Estrie,1379,493163,279.6235727,,
6,Montréal,30245,2065657,1464.183066,,
7,Outaouais,924,401032,230.4055537,,
8,Abitibi-Témiscamingue,191,147616,129.389768,,
9,Côte-Nord,130,90033,144.3915009,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,215,89998,238.8941976,,
12,Chaudière-Appalaches,673,430309,156.3992387,,
13,Laval,6440,442745,1454.561881,,
14,Lanaudière,4914,520092,944.8328373,,
15,Laurentides,4323,626968,689.5088745,,
16,Montérégie,9563,1432751,667.4572204,,
17,Nunavik,18,14260,126.227209,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,2216,,,,,
10-19 ans,3580,,,,,
20-29 ans,9423,,,,,
30-39 ans,8435,,,,,
40-49 ans,9517,,,,,
50-59 ans,9021,,,,,
60-69 ans,5465,,,,,
70-79 ans,4683,,,,,
80-89 ans,6874,,,,,
90 ans et plus,4771,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,42.5,"rgb(155,207, 229)",,,,
Femmes,57.5,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,1,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,109,,,,,
60-69 ans,349,,,,,
70-79 ans,1034,,,,,
80-89 ans,2314,,,,,
90 ans et plus,1935,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,128.9592455,"rgb(28,129,154)",6591,,,
Alberta,342.0009218,"rgb(28,129,154)",15093,,,
Saskatchewan,141.2412645,"rgb(28,129,154)",1669,,,
Manitoba,97.92982591,"rgb(28,129,154)",1349,,,
Ontario,295.9251764,"rgb(28,129,154)",43536,,,
Québec,750.1516851,"rgb(239,117,22)",64056,,,
Terre-Neuve et Labrador,51.78713569,"rgb(28,129,154)",270,,,
Nouveau-Brunswick,24.61560552,"rgb(28,129,154)",192,,,
Nouvelle-Écosse,111.1046317,"rgb(28,129,154)",1086,,,
Île-du-Prince-Édouard,33.510793,"rgb(28,129,154)",53,,,
Canada,353.4205314,"rgb(179,30,58)",133928,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,6582.086933,"rgb(28,129,154)",336405,,,
Alberta,18695.18933,"rgb(28,129,154)",825046,,,
Saskatchewan,10856.3672,"rgb(28,129,154)",128286,,,
Manitoba,10508.90842,"rgb(28,129,154)",144762,,,
Ontario,20849.74218,"rgb(28,129,154)",3067378,,,
Québec,13916.12415,"rgb(239,117,22)",1188308,,,
Terre-Neuve et Labrador,6457.280408,"rgb(28,129,154)",33666,,,
Nouveau-Brunswick,7214.808338,"rgb(28,129,154)",56275,,,
Nouvelle-Écosse,8372.439913,"rgb(28,129,154)",81837,,,
Île-du-Prince-Édouard,18819.15553,"rgb(28,129,154)",29764,,,
Canada,15569.89127,"rgb(179,30,58)",5900179,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,750.1516851,"rgb(239,117,22)",64056,,,
Canada,353.4205314,"rgb(179,30,58)",133928,,,
États-Unis,1968.587557,"rgb(28,129,154)",6516077,,,
Italie,463.3551755,"rgb(28,129,154)",280153,,,
France,514.0278114,"rgb(28,129,154)",335524,,,
Espagne,1143.226474,"rgb(28,129,154)",534513,,,
Allemagne,304.6729408,"rgb(28,129,154)",255267,,,
Chine,5.915694677,"rgb(28,129,154)",85146,,,
Royaume-Uni,519.3411644,"rgb(28,129,154)",352560,,,
Suisse,523.4890675,"rgb(28,129,154)",45306,,,
Portugal,603.537867,"rgb(28,129,154)",61541,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,675.8344846,"rgb(239,117,22)",5771,,,
Canada,241.5634927,"rgb(179,30,58)",9154,,,
États-Unis,586.3880528,"rgb(28,129,154)",194096,,,
Italie,588.1893147,"rgb(28,129,154)",35563,,,
France,471.3091042,"rgb(28,129,154)",30764,,,
Espagne,632.9620472,"rgb(28,129,154)",29594,,,
Allemagne,112.3007557,"rgb(28,129,154)",9409,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,616.5629617,"rgb(28,129,154)",41856,,,
Suisse,233.2857518,"rgb(28,129,154)",2019,,,
Portugal,181.3330164,"rgb(28,129,154)",1849,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,2,1,,,,
10-19 ans,0,0,,,,
20-29 ans,1,0,,,,
30-39 ans,2,1, ,,,
40-49 ans,7,2,,,,
50-59 ans,11,3,,,,
60-69 ans,22,2,,,,
70-79 ans,33,5,,,,
80-89 ans,22,0,,,,
90 ans et plus,13,0,,,,
