Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
58 243,5 663, 220, 12,50 615,16 256,23 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,65,197074,32.98253448,,
2,Saguenay Lac St-Jean,365,277632,131.4689949,,
3,Capitale-Nationale,1924,755459,254.6796054,,
4,Mauricie et Centre-du-Québec,2078,522341,397.8244097,,
5,Estrie,1004,493163,203.5838049,,
6,Montréal,28339,2065657,1371.912181,,
7,Outaouais,651,401032,162.3311855,,
8,Abitibi-Témiscamingue,177,147616,119.9057013,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,196,89998,217.7826174,,
12,Chaudière-Appalaches,533,430309,123.8644788,,
13,Laval,5959,442745,1345.921467,,
14,Lanaudière,4441,520092,853.8873892,,
15,Laurentides,3744,626968,597.1596637,,
16,Montérégie,8579,1432751,598.7781548,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1838,,,,,
10-19 ans,2926,,,,,
20-29 ans,7920,,,,,
30-39 ans,7544,,,,,
40-49 ans,8720,,,,,
50-59 ans,8351,,,,,
60-69 ans,5112,,,,,
70-79 ans,4410,,,,,
80-89 ans,6672,,,,,
90 ans et plus,4675,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.6,"rgb(155,207, 229)",,,,
Femmes,58.4,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,103,,,,,
60-69 ans,341,,,,,
70-79 ans,1018,,,,,
80-89 ans,2270,,,,,
90 ans et plus,1902,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,66.36773792,"rgb(28,129,154)",3392,,,
Alberta,226.0292318,"rgb(28,129,154)",9975,,,
Saskatchewan,90.71937417,"rgb(28,129,154)",1072,,,
Manitoba,27.22289453,"rgb(28,129,154)",375,,,
Ontario,259.7230106,"rgb(28,129,154)",38210,,,
Québec,682.07638,"rgb(239,117,22)",58243,,,
Terre-Neuve et Labrador,50.63631045,"rgb(28,129,154)",264,,,
Nouveau-Brunswick,21.79506739,"rgb(28,129,154)",170,,,
Nouvelle-Écosse,109.1608122,"rgb(28,129,154)",1067,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,297.7585394,"rgb(179,30,58)",112835,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,4048.197222,"rgb(28,129,154)",206900,,,
Alberta,11799.33771,"rgb(28,129,154)",520722,,,
Saskatchewan,6346.040252,"rgb(28,129,154)",74989,,,
Manitoba,5648.206156,"rgb(28,129,154)",77805,,,
Ontario,12887.68553,"rgb(28,129,154)",1896014,,,
Québec,8749.310376,"rgb(239,117,22)",747110,,,
Terre-Neuve et Labrador,4408.236073,"rgb(28,129,154)",22983,,,
Nouveau-Brunswick,5659.922589,"rgb(28,129,154)",44147,,,
Nouvelle-Écosse,6380.33182,"rgb(28,129,154)",62365,,,
Île-du-Prince-Édouard,11405.05065,"rgb(28,129,154)",18038,,,
Canada,9702.22853,"rgb(179,30,58)",3676640,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,682.07638,"rgb(239,117,22)",58243,,,
Canada,297.7585394,"rgb(179,30,58)",112835,,,
États-Unis,1261.433704,"rgb(28,129,154)",4175379,,,
Italie,405.7733883,"rgb(28,129,154)",245338,,,
France,274.8404326,"rgb(28,129,154)",179398,,,
Espagne,678.5317214,"rgb(28,129,154)",317246,,,
Allemagne,245.0278599,"rgb(28,129,154)",205294,,,
Chine,5.818704686,"rgb(28,129,154)",83750,,,
Royaume-Uni,437.7131542,"rgb(28,129,154)",297146,,,
Suisse,394.6330643,"rgb(28,129,154)",34154,,,
Portugal,484.2640895,"rgb(28,129,154)",49379,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,663.1867417,"rgb(239,117,22)",5663,,,
Canada,234.0690605,"rgb(179,30,58)",8870,,,
États-Unis,445.2985484,"rgb(28,129,154)",147395,,,
Italie,580.3992754,"rgb(28,129,154)",35092,,,
France,462.3927768,"rgb(28,129,154)",30182,,,
Espagne,608.0448077,"rgb(28,129,154)",28429,,,
Allemagne,109.6868896,"rgb(28,129,154)",9190,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,671.0366293,"rgb(28,129,154)",45554,,,
Suisse,228.4328536,"rgb(28,129,154)",1977,,,
Portugal,167.2108128,"rgb(28,129,154)",1705,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
