Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
65 262,5 780, 124, 19,57 428,20 173,13 septembre 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,182,197074,92.35109654,,
2,Saguenay Lac St-Jean,382,277632,137.5922084,,
3,Capitale-Nationale,2564,755459,339.396314,,
4,Mauricie et Centre-du-Québec,2189,522341,419.0748955,,
5,Estrie,1463,493163,296.6564807,,
6,Montréal,30474,2065657,1475.269127,,
7,Outaouais,998,401032,248.8579465,,
8,Abitibi-Témiscamingue,190,147616,128.7123347,,
9,Côte-Nord,140,90033,155.4985394,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,220,89998,244.4498767,,
12,Chaudière-Appalaches,779,430309,181.0326998,,
13,Laval,6524,442745,1473.534427,,
14,Lanaudière,4981,520092,957.7151735,,
15,Laurentides,4385,626968,699.3977364,,
16,Montérégie,9715,1432751,678.0661818,,
17,Nunavik,18,14260,126.227209,,
18,Terres-Cries-de-la-Baie-James,11,18385,59.83138428,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,2288,,,,,
10-19 ans,3808,,,,,
20-29 ans,9727,,,,,
30-39 ans,8586,,,,,
40-49 ans,9673,,,,,
50-59 ans,9144,,,,,
60-69 ans,5538,,,,,
70-79 ans,4732,,,,,
80-89 ans,6911,,,,,
90 ans et plus,4785,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,42.6,"rgb(155,207, 229)",,,,
Femmes,57.4,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,1,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,109,,,,,
60-69 ans,350,,,,,
70-79 ans,1035,,,,,
80-89 ans,2320,,,,,
90 ans et plus,1936,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.1,"rgb(155,207, 229)",,,,
Femmes,54.9,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,136.2182168,"rgb(28,129,154)",6962,,,
Alberta,349.297304,"rgb(28,129,154)",15415,,,
Saskatchewan,146.0649625,"rgb(28,129,154)",1726,,,
Manitoba,103.6647824,"rgb(28,129,154)",1428,,,
Ontario,302.5049166,"rgb(28,129,154)",44504,,,
Québec,764.274998,"rgb(239,117,22)",65262,,,
Terre-Neuve et Labrador,51.9789399,"rgb(28,129,154)",271,,,
Nouveau-Brunswick,24.7438118,"rgb(28,129,154)",193,,,
Nouvelle-Écosse,111.1046317,"rgb(28,129,154)",1086,,,
Île-du-Prince-Édouard,34.77535123,"rgb(28,129,154)",55,,,
Canada,361.3556573,"rgb(179,30,58)",136935,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,6948.929126,"rgb(28,129,154)",355154,,,
Alberta,19182.48343,"rgb(28,129,154)",846551,,,
Saskatchewan,11301.50144,"rgb(28,129,154)",133546,,,
Manitoba,10767.63481,"rgb(28,129,154)",148326,,,
Ontario,21780.3404,"rgb(28,129,154)",3204286,,,
