Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
58 583,5 667, 197, 10,50 812,15 089,25 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,65,197074,32.98253448,,
2,Saguenay Lac St-Jean,366,277632,131.829184,,
3,Capitale-Nationale,1942,755459,257.0622628,,
4,Mauricie et Centre-du-Québec,2076,522341,397.4415181,,
5,Estrie,1022,493163,207.2337138,,
6,Montréal,28474,2065657,1378.447632,,
7,Outaouais,657,401032,163.8273255,,
8,Abitibi-Témiscamingue,178,147616,120.5831346,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,196,89998,217.7826174,,
12,Chaudière-Appalaches,539,430309,125.2588256,,
13,Laval,5988,442745,1352.471513,,
14,Lanaudière,4460,520092,857.540589,,
15,Laurentides,3784,626968,603.5395746,,
16,Montérégie,8648,1432751,603.5940648,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1864,,,,,
10-19 ans,2961,,,,,
20-29 ans,8035,,,,,
30-39 ans,7594,,,,,
40-49 ans,8771,,,,,
50-59 ans,8391,,,,,
60-69 ans,5121,,,,,
70-79 ans,4417,,,,,
80-89 ans,6679,,,,,
90 ans et plus,4674,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.7,"rgb(155,207, 229)",,,,
Femmes,58.3,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,104,,,,,
60-69 ans,341,,,,,
70-79 ans,1018,,,,,
80-89 ans,2271,,,,,
90 ans et plus,1904,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,66.89601886,"rgb(28,129,154)",3419,,,
Alberta,228.5444443,"rgb(28,129,154)",10086,,,
Saskatchewan,96.13545621,"rgb(28,129,154)",1136,,,
Manitoba,28.16662154,"rgb(28,129,154)",388,,,
Ontario,261.9864956,"rgb(28,129,154)",38543,,,
Québec,686.0580768,"rgb(239,117,22)",58583,,,
Terre-Neuve et Labrador,50.82811466,"rgb(28,129,154)",265,,,
Nouveau-Brunswick,21.79506739,"rgb(28,129,154)",170,,,
Nouvelle-Écosse,109.1608122,"rgb(28,129,154)",1067,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,300.1071466,"rgb(179,30,58)",113725,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,4143.9139,"rgb(28,129,154)",211792,,,
Alberta,11944.97078,"rgb(28,129,154)",527149,,,
Saskatchewan,6587.817539,"rgb(28,129,154)",77846,,,
Manitoba,5749.039758,"rgb(28,129,154)",79194,,,
Ontario,13273.72188,"rgb(28,129,154)",1952807,,,
Québec,8998.002476,"rgb(239,117,22)",768346,,,
Terre-Neuve et Labrador,4480.738063,"rgb(28,129,154)",23361,,,
Nouveau-Brunswick,5744.666939,"rgb(28,129,154)",44808,,,
Nouvelle-Écosse,6449.388566,"rgb(28,129,154)",63040,,,
Île-du-Prince-Édouard,11707.91234,"rgb(28,129,154)",18517,,,
Canada,9955.086449,"rgb(179,30,58)",3772460,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
