Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
62 492,5 760, 112, 18,55 353,11 541,30 août 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,74,197074,37.54934695,,
2,Saguenay Lac St-Jean,377,277632,135.7912633,,
3,Capitale-Nationale,2062,755459,272.9466457,,
4,Mauricie et Centre-du-Québec,2146,522341,410.8427253,,
5,Estrie,1250,493163,253.4658926,,
6,Montréal,29840,2065657,1444.576713,,
7,Outaouais,832,401032,207.464741,,
8,Abitibi-Témiscamingue,183,147616,123.9703013,,
9,Côte-Nord,127,90033,141.0593893,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,213,89998,236.671926,,
12,Chaudière-Appalaches,610,430309,141.7585967,,
13,Laval,6298,442745,1422.489243,,
14,Lanaudière,4855,520092,933.4886905,,
15,Laurentides,4235,626968,675.4730704,,
16,Montérégie,9322,1432751,650.636433,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,2105,,,,,
10-19 ans,3407,,,,,
20-29 ans,9089,,,,,
30-39 ans,8190,,,,,
40-49 ans,9299,,,,,
50-59 ans,8837,,,,,
60-69 ans,5360,,,,,
70-79 ans,4590,,,,,
80-89 ans,6809,,,,,
90 ans et plus,4734,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,42.3,"rgb(155,207, 229)",,,,
Femmes,57.7,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,1,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,109,,,,,
60-69 ans,350,,,,,
70-79 ans,1033,,,,,
80-89 ans,2304,,,,,
90 ans et plus,1934,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.1,"rgb(155,207, 229)",,,,
Femmes,54.9,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,107.5345188,"rgb(28,129,154)",5496,,,
Alberta,305.3603937,"rgb(28,129,154)",13476,,,
Saskatchewan,136.6714452,"rgb(28,129,154)",1615,,,
Manitoba,86.09694109,"rgb(28,129,154)",1186,,,
Ontario,286.810061,"rgb(28,129,154)",42195,,,
Québec,731.8358796,"rgb(239,117,22)",62492,,,
Terre-Neuve et Labrador,51.59533149,"rgb(28,129,154)",269,,,
Nouveau-Brunswick,24.48739925,"rgb(28,129,154)",191,,,
Nouvelle-Écosse,110.7977128,"rgb(28,129,154)",1083,,,
Île-du-Prince-Édouard,27.82028098,"rgb(28,129,154)",44,,,
Canada,337.9883345,"rgb(179,30,58)",128080,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,5971.433306,"rgb(28,129,154)",305195,,,
Alberta,16859.9226,"rgb(28,129,154)",744053,,,
Saskatchewan,10011.37377,"rgb(28,129,154)",118301,,,
Manitoba,9416.508108,"rgb(28,129,154)",129714,,,
Ontario,19338.63143,"rgb(28,129,154)",2845066,,,
Québec,12977.83729,"rgb(239,117,22)",1108187,,,
Terre-Neuve et Labrador,6097.839326,"rgb(28,129,154)",31792,,,
Nouveau-Brunswick,6865.446228,"rgb(28,129,154)",53550,,,
Nouvelle-Écosse,7805.45845,"rgb(28,129,154)",76295,,,
Île-du-Prince-Édouard,17385.1465,"rgb(28,129,154)",27496,,,
Canada,14375.17587,"rgb(179,30,58)",5447444,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,731.8358796,"rgb(239,117,22)",62492,,,
Canada,337.9883345,"rgb(179,30,58)",128080,,,
États-Unis,1866.210733,"rgb(28,129,154)",6177207,,,
Italie,443.6154475,"rgb(28,129,154)",268218,,,
France,425.8128539,"rgb(28,129,154)",277943,,,
Espagne,974.4907782,"rgb(28,129,154)",455621,,,
Allemagne,290.9555151,"rgb(28,129,154)",243774,,,
Chine,5.908885924,"rgb(28,129,154)",85048,,,
Royaume-Uni,492.6891344,"rgb(28,129,154)",334467,,,
Suisse,487.3349755,"rgb(28,129,154)",42177,,,
Portugal,568.9286612,"rgb(28,129,154)",58012,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,674.5462886,"rgb(239,117,22)",5760,,,
Canada,240.6398831,"rgb(179,30,58)",9119,,,
États-Unis,565.6993968,"rgb(28,129,154)",187248,,,
Italie,586.7669296,"rgb(28,129,154)",35477,,,
France,468.8885205,"rgb(28,129,154)",30606,,,
Espagne,620.4927334,"rgb(28,129,154)",29011,,,
Allemagne,111.7875308,"rgb(28,129,154)",9366,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,611.3041463,"rgb(28,129,154)",41499,,,
Suisse,231.6681191,"rgb(28,129,154)",2005,,,
Portugal,178.6851032,"rgb(28,129,154)",1822,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,0,0,,,,
10-19 ans,0,0,,,,
20-29 ans,4,0,,,,
