Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
57 142,5 647, 260, 16,49 939,14 344,16 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,63,197074,31.96768726,,
2,Saguenay Lac St-Jean,352,277632,126.7865376,,
3,Capitale-Nationale,1903,755459,251.8998384,,
4,Mauricie et Centre-du-Québec,2066,522341,395.5270599,,
5,Estrie,989,493163,200.5422142,,
6,Montréal,27862,2065657,1348.820254,,
7,Outaouais,629,401032,156.845339,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,124,90033,137.7272778,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,193,89998,214.44921,,
12,Chaudière-Appalaches,528,430309,122.7025231,,
13,Laval,5895,442745,1331.466194,,
14,Lanaudière,4345,520092,835.4291164,,
15,Laurentides,3650,626968,582.166873,,
16,Montérégie,8311,1432751,580.0728808,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1778,,,,,
10-19 ans,2815,,,,,
20-29 ans,7516,,,,,
30-39 ans,7356,,,,,
40-49 ans,8580,,,,,
50-59 ans,8251,,,,,
60-69 ans,5074,,,,,
70-79 ans,4383,,,,,
80-89 ans,6651,,,,,
90 ans et plus,4664,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.4,"rgb(155,207, 229)",,,,
Femmes,58.6,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,101,,,,,
60-69 ans,341,,,,,
70-79 ans,1013,,,,,
80-89 ans,2264,,,,,
90 ans et plus,1899,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,62.0240947,"rgb(28,129,154)",3170,,,
Alberta,206.5193402,"rgb(28,129,154)",9114,,,
Saskatchewan,78.11005817,"rgb(28,129,154)",923,,,
Manitoba,24.02874157,"rgb(28,129,154)",331,,,
Ontario,252.6062874,"rgb(28,129,154)",37163,,,
Québec,669.1827087,"rgb(239,117,22)",57142,,,
Terre-Neuve et Labrador,50.25270204,"rgb(28,129,154)",262,,,
Nouveau-Brunswick,21.53865483,"rgb(28,129,154)",168,,,
Nouvelle-Écosse,109.1608122,"rgb(28,129,154)",1067,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,288.7071653,"rgb(179,30,58)",109405,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3760.92979,"rgb(28,129,154)",192218,,,
Alberta,10902.90237,"rgb(28,129,154)",481161,,,
Saskatchewan,5743.331872,"rgb(28,129,154)",67867,,,
Manitoba,5192.966766,"rgb(28,129,154)",71534,,,
Ontario,11699.06362,"rgb(28,129,154)",1721146,,,
Québec,8419.274551,"rgb(239,117,22)",718928,,,
Terre-Neuve et Labrador,4088.690265,"rgb(28,129,154)",21317,,,
Nouveau-Brunswick,5403.253619,"rgb(28,129,154)",42145,,,
Nouvelle-Écosse,6123.440724,"rgb(28,129,154)",59854,,,
Île-du-Prince-Édouard,10235.33429,"rgb(28,129,154)",16188,,,
Canada,8966.024599,"rgb(179,30,58)",3397657,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,669.1827087,"rgb(239,117,22)",57142,,,
Canada,288.7071653,"rgb(179,30,58)",109405,,,
États-Unis,1117.606457,"rgb(28,129,154)",3699307,,,
Italie,403.1237826,"rgb(28,129,154)",243736,,,
France,266.322429,"rgb(28,129,154)",173838,,,
Espagne,654.3395415,"rgb(28,129,154)",305935,,,
Allemagne,241.0139642,"rgb(28,129,154)",201931,,,
Chine,5.809811621,"rgb(28,129,154)",83622,,,
Royaume-Uni,430.9459279,"rgb(28,129,154)",292552,,,
Suisse,385.7129751,"rgb(28,129,154)",33382,,,
Portugal,468.435453,"rgb(28,129,154)",47765,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,661.313002,"rgb(239,117,22)",5647,,,
Canada,232.960729,"rgb(179,30,58)",8828,,,
États-Unis,426.4860102,"rgb(28,129,154)",141168,,,
Italie,579.1588233,"rgb(28,129,154)",35017,,,
France,461.7186901,"rgb(28,129,154)",30138,,,
Espagne,607.7667613,"rgb(28,129,154)",28416,,,
Allemagne,109.2930194,"rgb(28,129,154)",9157,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,664.6288291,"rgb(28,129,154)",45119,,,
Suisse,227.508492,"rgb(28,129,154)",1969,,,
Portugal,164.6609705,"rgb(28,129,154)",1679,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,1,0,,,,
10-19 ans,2,0,,,,
20-29 ans,8,1,,,,
30-39 ans,2,0, ,,,
40-49 ans,8,0,,,,
50-59 ans,22,4,,,,
60-69 ans,43,4,,,,
70-79 ans,75,5,,,,
80-89 ans,73,2,,,,
90 ans et plus,26,0,,,,
