Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
55 390,5 485, 455, 45,24 602,7 680,28 juin 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,60,197074,30.44541644,,
2,Saguenay Lac St-Jean,330,277632,118.862379,,
3,Capitale-Nationale,1842,755459,243.8252771,,
4,Mauricie et Centre-du-Québec,2045,522341,391.5066977,,
5,Estrie,960,493163,194.6618055,,
6,Montréal,27269,2065657,1320.112681,,
7,Outaouais,586,401032,146.1230027,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,119,90033,132.1737585,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,189,89998,210.0046668,,
12,Chaudière-Appalaches,520,430309,120.8433939,,
13,Laval,5786,442745,1306.847056,,
14,Lanaudière,4210,520092,809.4721703,,
15,Laurentides,3417,626968,545.0038917,,
16,Montérégie,7827,1432751,546.2917143,,
17,Nunavik,16,14260,112.2019635,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1662,,,,,
10-19 ans,2529,,,,,
20-29 ans,7078,,,,,
30-39 ans,7100,,,,,
40-49 ans,8382,,,,,
50-59 ans,8094,,,,,
60-69 ans,4969,,,,,
70-79 ans,4298,,,,,
80-89 ans,6579,,,,,
90 ans et plus,4625,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.1,"rgb(155,207, 229)",,,,
Femmes,58.9,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,96,,,,,
60-69 ans,328,,,,,
70-79 ans,984,,,,,
80-89 ans,2199,,,,,
90 ans et plus,1849,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,44.9,"rgb(155,207, 229)",,,,
Femmes,55.1,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,56.31083424,"rgb(28,129,154)",2878,,,
Alberta,181.1859386,"rgb(28,129,154)",7996,,,
Saskatchewan,65.8392473,"rgb(28,129,154)",778,,,
Manitoba,23.3753921,"rgb(28,129,154)",322,,,
Ontario,235.5519814,"rgb(28,129,154)",34654,,,
Québec,648.6652591,"rgb(239,117,22)",55390,,,
Terre-Neuve et Labrador,50.06089784,"rgb(28,129,154)",261,,,
Nouveau-Brunswick,21.154036,"rgb(28,129,154)",165,,,
Nouvelle-Écosse,108.5469744,"rgb(28,129,154)",1061,,,
Île-du-Prince-Édouard,17.07153606,"rgb(28,129,154)",27,,,
Canada,273.285524,"rgb(179,30,58)",103561,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3186.825378,"rgb(28,129,154)",162876,,,
Alberta,8701.72888,"rgb(28,129,154)",384020,,,
Saskatchewan,4848.408941,"rgb(28,129,154)",57292,,,
Manitoba,4460.489417,"rgb(28,129,154)",61444,,,
Ontario,8918.559197,"rgb(28,129,154)",1312083,,,
Québec,6845.789935,"rgb(239,117,22)",584567,,,
Terre-Neuve et Labrador,3338.544014,"rgb(28,129,154)",17406,,,
Nouveau-Brunswick,4861.453885,"rgb(28,129,154)",37919,,,
Nouvelle-Écosse,5542.443299,"rgb(28,129,154)",54175,,,
Île-du-Prince-Édouard,7126.417886,"rgb(28,129,154)",11271,,,
Canada,7092.778088,"rgb(179,30,58)",2687794,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,648.6652591,"rgb(239,117,22)",55390,,,
Canada,273.285524,"rgb(179,30,58)",103561,,,
États-Unis,797.5857571,"rgb(28,129,154)",2640030,,,
Italie,397.4573973,"rgb(28,129,154)",240310,,,
France,249.6204011,"rgb(28,129,154)",162936,,,
Espagne,632.7695535,"rgb(28,129,154)",295850,,,
Allemagne,232.6221414,"rgb(28,129,154)",194900,,,
